DLL Identifier (Author),Authorized Name,Language,Variant
G55561,Lycus Rheginus 3. Jh. v. Chr,Greek,Lycus Rheginus 3. Jh. v. Chr
G05484,"Nicephorus Saint, Patriarch of Constantinople",Greek,Nicéphore Ier
G36001,"Clitophon Rhodius, 1./2. Jh. v. Chr.",Greek,Clitofó
G00491,"Demetrius, of Phaleron, b. ca. 350 B.C.",Greek,Démétrios de Phalère 0350?-0283? av. J.-C.
G43722,"Echembrotus Lyricus, 6. Jh. v. Chr",Greek,Equembrot
G67137,"Samus, Macedonius, 3 Jh. v Chr.",Greek,Samus Macedonius 3. Jh. v. Chr
G30362,Heraclitus Halicarnassensis 3. Jh. v. Chr.,Greek,Ἡράκλειτος
G99751,Claudius Apollinarius 2. Jh.,Greek,Ἀπολλινάριος Κλαύδιος
G29138,"Proclus, Saint, Patriarch of Constantinople, approximately 390-approximately 446",Greek,Proclus
G36254,Glaucias Tarentinus v2. Jh.,Greek,Glàucies (metge)
G36296,Hierophilus Sophista 4. bzw. 6. Jh.,Greek,Hierophilus Sophista 4. bzw. 6. Jh.
G36352,Iustus Medicus 2. Jh.,Greek,Iustus Medicus 2. Jh.
G36443,Mnaseas Medicus 1. Jh,Greek,Mnaseas Medicus 1. Jh.
G36600,Philinus Cous v3. Jh.,Greek,فيلينوس الكوسي طبيب إغريقي
G36628,Philoxenus Medicus v2./1. Jh.,Greek,Philoxenus Alexandrinus
G98390,"Theodorus, of Gadara, active 33 B.C.",Greek,Θεόδωρος
G22988,Basilides Gnosticus 2. Jht.,Greek,Basilides Gnosticus 2. Jht.
G93704,Dius Historicus v2. Jh.,Greek,Dios
G94038,Polygnostus Historicus Person der Antike,Greek,Polygnostus Historicus
G94040,Serapion Alexandrinus v2./3. Jh.,Greek,سيرابيون الإسكندري طبيب إغريقي
G18051,Aëtius Doxographus ca. 100,Greek,Aëtius
G41476,Gaius Romanus 2./3. Jh.,Greek,Gaius Romanus 2./3. Jh.
G73016,Moschion Medicus v1. Jh.,Greek,Moschion Medicus ca. 1. Jh. v. Chr.
G80863,"Aristophon, 4th cent. B.C.",Greek,Aristophon Comicus
G14392,Polycrates Ephesius 2. Jh,Greek,Polykrates fra Efesos
G59369,Adaeus Mytilenensis v3. Jh,Greek,Ἀδαῖος Μιτυληναῖος
G59416,Androsthenes Thasius v4. Jh,Greek,Androsthenes v4. Jh Thasius
G59557,Chrysermus Medicus v1. Jh.,Greek,Criserm
G59588,Cleobulus Medicus ca. 2.Jh.n.Chr.,Greek,Cleobulus Medicus ca. 2. Jh.
G59672,Nicolaus Ancyranus 5. Jh.,Greek,Nicolaus Ancyranus 5. Jh.
G59906,Hestiaeus Perinthius v4. Jh.,Greek,Гэстыэй Пэрынтыйскі
G60198,Theudas Medicus ca. 1.Jh.n.Chr.,Greek,Theudas Medicus ca. 1. Jh.
G20282,Apocalypsis Esdrae Graece,Greek,Esra-Apokalypse (Griechisch)
G82729,Antonius Musa v23-23,Greek,Musa
G53613,Anonymus Florentinus,Greek,Anonymus Florentinus
G39370,Didachè,Greek,Didachè
