"Variant","Authorized Name","DLL Identifier (Author)"
"herryson, joannes floruit=15th century a.d.","herryson, joannes","A1868"
"joannes herryson","herryson, joannes","A1868"
"john herryson","herryson, joannes","A1868"
"heryyson, joannes floruit=15th century a.d.","herryson, joannes","A1868"
"herryson, xoannes floruit=15th century a.d.","herryson, joannes","A1868"
"johannes stratford","stratford, john, -1348","A1870"
"john stratford","stratford, john, -1348","A1870"
"john stratford, 1275?-1348","stratford, john, -1348","A1870"
"stratford, johannes ca. 1275-1348","stratford, john, -1348","A1870"
"stratford, john ca 1275-1348","stratford, john, -1348","A1870"
"stratford, john, m. 1348","stratford, john, -1348","A1870"
"nicòmac, de gerasa, actiu segle i","nicomachus, of gerasa","A2181"
"nicomachus, of gerasa","nicomachus, of gerasa","A2181"
"nicòmac, de gerasa, actiz segle i","nicomachus, of gerasa","A2181"
"nicòmac, dn gerasa, actiu segle i","nicomachus, of gerasa","A2181"
"nicòmac, de gerasz, actiu segle i","nicomachus, of gerasa","A2181"
"nicòmac, de gerasa, pctiu segle i","nicomachus, of gerasa","A2181"
"abū al-ʿabbās al-faḍl ibn ḥātim nayrīzī","anaritius, -approximately 922","A2491"
"abū'l-'abbās al fadl ibn hātim al-nayrīzī (865-około 922).","anaritius, -approximately 922","A2491"
"al-nayrïzï, al-fadl b. hätim","anaritius, -approximately 922","A2491"
"anaritius","anaritius, -approximately 922","A2491"
"anaritius, d. ca 922","anaritius, -approximately 922","A2491"
"anaritius, m. c. 922","anaritius, -approximately 922","A2491"
"nairīzī, al-faḍl ibn-ḥātim an- -922","anaritius, -approximately 922","A2491"
"nayrīzī, abūʾl ʾabbās al-faḍl ibn ḥātim, 865-922","anaritius, -approximately 922","A2491"
"nayrīzī, al-faḍl b. ḥātim al- (abū al-ʿabbās al-faḍl b. ḥātim), ca. 897-922","anaritius, -approximately 922","A2491"
"nayrīzī, al-faḍl ibn ḥātim abū al-ʿabbās al-, 0897-0922","anaritius, -approximately 922","A2491"
"nayrīzī, al-fadl ibn-hatim an abu al-abbas al (ca 897-ca 922)","anaritius, -approximately 922","A2491"
"karl strecker","strecker, karl, 1861-1945","A2492"
"strecker, karl","strecker, karl, 1861-1945","A2492"
"strecker, karl, 1861-1945","strecker, karl, 1861-1945","A2492"
"strecker, karl, 1861-1945.","strecker, karl, 1861-1945","A2492"
"johann georg simon","simon, johann georg, approximately 1636-1696","A2493"
"simon, johann georg","simon, johann georg, approximately 1636-1696","A2493"
"simon, johann georg ca. 1636-1696","simon, johann georg, approximately 1636-1696","A2493"
"simon, johann georg, 1636-1696","simon, johann georg, approximately 1636-1696","A2493"
"giovanni giacomo komarek","komarek, giovanni giacomo, 1648-1706","A2494"
"komarek, giovanni giacomo","komarek, giovanni giacomo, 1648-1706","A2494"
"komarek, giovanni giacomo 1650-1705","komarek, giovanni giacomo, 1648-1706","A2494"
"komarek, giovanni giacomo, 16..-17.., libraire","komarek, giovanni giacomo, 1648-1706","A2494"
"komarek, giovanni giacomo, fl. 1688-1712","komarek, giovanni giacomo, 1648-1706","A2494"
"komárek, jan jakub, asi 1650-1706","komarek, giovanni giacomo, 1648-1706","A2494"
"komarek, johann jacob 1650c-1706","komarek, giovanni giacomo, 1648-1706","A2494"
"komarek, johann jacob.","komarek, giovanni giacomo, 1648-1706","A2494"
"françois préchac agrégé des lettres, membre de l'école française de rome (1906-1908)","préchac, françois","A2495"
"pr©♭chac, fran©ʹois, 1881-1977","préchac, françois","A2495"
"préchac, françois","préchac, françois","A2495"
"préchac, françois, 1881-","préchac, françois","A2495"
"préchac, françois, 1881-1977","préchac, françois","A2495"
"préchac, françois.","préchac, françois","A2495"
"ignace 0775?-08.. métropolite de nicée","ignatios, the deacon, approximately 775-approximately 848","A2508"
"ignatios ca. 775-ca. 848 the deacon","ignatios, the deacon, approximately 775-approximately 848","A2508"
"ignatios diakonos, asi 775-asi 848","ignatios, the deacon, approximately 775-approximately 848","A2508"
"ignatios, diakon, ca 775-ca 848","ignatios, the deacon, approximately 775-approximately 848","A2508"
"ignatios, the deacon, ca. 775-ca. 848","ignatios, the deacon, approximately 775-approximately 848","A2508"
"ignatius diaconus biskop av nicaea","ignatios, the deacon, approximately 775-approximately 848","A2508"
"ignatius diaconus.","ignatios, the deacon, approximately 775-approximately 848","A2508"
"ignatius, diaconus constantinopolitanus","ignatios, the deacon, approximately 775-approximately 848","A2508"
"ignatius, diaconus, archbishop of nicaea, 9th century","ignatios, the deacon, approximately 775-approximately 848","A2508"
"alberico da marcellise, 1340-1398","alberico da marcellise","A2755"
"alberico da marceulise, 1340-1398","alberico da marcellise","A2755"
"rlberict da marcellise, 1340-1398","alberico da marcellise","A2755"
"albericq df marcellise, 1340-1398","alberico da marcellise","A2755"
"albsrico da marcellise, 1340-1398","alberico da marcellise","A2755"
"albeiico da farcellise, 1340-1398","alberico da marcellise","A2755"
"alberico ga marcellise, 1340-1398","alberico da marcellise","A2755"
"aquilius niger, quintus","aquilius niger, quintus","A2868"
"quintus aquilius niger","aquilius niger, quintus","A2868"
"aquilius niger, puintus","aquilius niger, quintus","A2868"
"aquilibl niger, quintus","aquilius niger, quintus","A2868"
"aquilius niqer, quxntus","aquilius niger, quintus","A2868"
"aquilbus nimer, quintus","aquilius niger, quintus","A2868"
"julianus, salvius","salvius julianus","A2870"
"lucius octavius cornelius publius salvius iulianus aemilianus","salvius julianus","A2870"
"salvio juliano","salvius julianus","A2870"
"salvius iulianus","salvius julianus","A2870"
"salvius iulianus aemilianus, lucius octavius ca. 2. jh.","salvius julianus","A2870"
"salvius julianus, 0100?-0169?","salvius julianus","A2870"
"m. claudius m.f.m.n. marcellus","marcellus, marcus claudius, -45 b.c.","A2871"
"marcellus, marcus claudius, ?-45 e.kr.","marcellus, marcus claudius, -45 b.c.","A2871"
"marcellus, marcus claudius, m. 45 av. j.-c.","marcellus, marcus claudius, -45 b.c.","A2871"
"marcus claudius marcellus","marcellus, marcus claudius, -45 b.c.","A2871"
"lentulus spinther, publius cornelius ca. v43","lentulus spinther, publius cornelius, born c. 43 b.c.","A2872"
"lentulus spinther, publius cornelius, born c. 43 b.c.","lentulus spinther, publius cornelius, born c. 43 b.c.","A2872"
"publius cornelius lentulus spinther","lentulus spinther, publius cornelius, born c. 43 b.c.","A2872"
"lentulus spinther, pjblius cornelius ca. v43","lentulus spinther, publius cornelius, born c. 43 b.c.","A2872"
"lentulus spinther, publius ckrnelius ca. v43","lentulus spinther, publius cornelius, born c. 43 b.c.","A2872"
"saturninus, claudius","saturninus, claudius, active 2nd century a.d.","A2873"
"saturninus, claudius 2. jh.","saturninus, claudius, active 2nd century a.d.","A2873"
"saturninus, claudius, active 2nd century a.d.","saturninus, claudius, active 2nd century a.d.","A2873"
"satdrninus, claudius, active 2nd century a.d.","saturninus, claudius, active 2nd century a.d.","A2873"
"saturninus, claudius, active 2nz century a.d.","saturninus, claudius, active 2nd century a.d.","A2873"
"metellus, quintus caecilius nepos -v56","metellus, quintus caecilius nepos, -56","A2874"
"metellus, quintus caecilius nepos, -56","metellus, quintus caecilius nepos, -56","A2874"
"nepos","metellus, quintus caecilius nepos, -56","A2874"
"quintus caecilius nepos metellus","metellus, quintus caecilius nepos, -56","A2874"
"quintus caecilius metellus celer","metellus celer, q. caecilius","A2875"
"quintls caecilius metelmus celer","metellus celer, q. caecilius","A2875"
"quintus caecilius metellus celgb","metellus celer, q. caecilius","A2875"
"quintus caeciluua metellus celer","metellus celer, q. caecilius","A2875"
"zuintus caecilius metellvs celer","metellus celer, q. caecilius","A2875"
"quintus caecilits metellus celer","metellus celer, q. caecilius","A2875"
"quqntus caecilius metellus celer","metellus celer, q. caecilius","A2875"
"papirius iustus","papirius iustus, active 2nd century a.d.","A2876"
"papirius iustus 2. jh.","papirius iustus, active 2nd century a.d.","A2876"
"papirius iustus, active 2nd century a.d.","papirius iustus, active 2nd century a.d.","A2876"
"papirius, iustus","papirius iustus, active 2nd century a.d.","A2876"
"papirius, iustus, sec. ii","papirius iustus, active 2nd century a.d.","A2876"
"mauricianus, iunius 2. jh.","mauricianus, iunius, active 2nd century a.d.","A2877"
"mauricianus, iunius, active 2nd century a.d.","mauricianus, iunius, active 2nd century a.d.","A2877"
"mauricianus, iunius, dctive 2nd century a.d.","mauricianus, iunius, active 2nd century a.d.","A2877"
"mauricianus, iunius, active 2nd centwry a.d.","mauricianus, iunius, active 2nd century a.d.","A2877"
"mauricianus, iunius, active 2nd century c.d.","mauricianus, iunius, active 2nd century a.d.","A2877"
"mauricirnus, iucius, active 2nd century a.d.","mauricianus, iunius, active 2nd century a.d.","A2877"
"lucceius, lucius v1. jh.","lucceius, lucius, active 1st century a.d.","A2878"
"lucceius, lucius, active 1st century a.d.","lucceius, lucius, active 1st century a.d.","A2878"
"lucius lucceius","lucceius, lucius, active 1st century a.d.","A2878"
"lucius lucceius quinti filius","lucceius, lucius, active 1st century a.d.","A2878"
"festus, pescennius","festus, pescennius","A2879"
"festus, pesfennius","festus, pescennius","A2879"
"festus, pescebnius","festus, pescennius","A2879"
"festws, pescednius","festus, pescennius","A2879"
"fertus, pescennius","festus, pescennius","A2879"
"festus, pesuennius","festus, pescennius","A2879"
"festus, eescenniys","festus, pescennius","A2879"
"valerius, cornelius","valerianus, cornelius","A2880"
"valeaius, cornelpus","valerianus, cornelius","A2880"
"valerius, czroelius","valerianus, cornelius","A2880"
"valerius, cooneliss","valerianus, cornelius","A2880"
"valerius, ctrnelius","valerianus, cornelius","A2880"
"vaperius, cornelius","valerianus, cornelius","A2880"
"valecius, rornelius","valerianus, cornelius","A2880"
"sextius niger 10-40","sextius niger","A2881"
"sextius niger, f. 10-40","sextius niger","A2881"
"sextiua niger 10-40","sextius niger","A2881"
"sextzus niger 10-40","sextius niger","A2881"
"sextiuq niger 10-40","sextius niger","A2881"
"yextius niser 10-40","sextius niger","A2881"
"nonianus","servilius nonianus, marcus, 1st century a.d.","A2882"
"servilius nonianus, marcus -59","servilius nonianus, marcus, 1st century a.d.","A2882"
"servilius nonianus, marcus 1. jh. n. chr","servilius nonianus, marcus, 1st century a.d.","A2882"
"servilius nonianus, marcus, 1st century a.d.","servilius nonianus, marcus, 1st century a.d.","A2882"
"aelius sabinus ca. ende 3. jh.","aelius sabinus","A2883"
"aelius sabinus ca. ende 3. lh.","aelius sabinus","A2883"
"awlius sabinus ca. ende 3. jh.","aelius sabinus","A2883"
"aklius cabinus ca. ende 3. jh.","aelius sabinus","A2883"
"aelius fabinus ca. ende 3. jh.","aelius sabinus","A2883"
"aelius sabinus sa. ende 3. jh.","aelius sabinus","A2883"
"aelius sabincs ca. ende 3. jh.","aelius sabinus","A2883"
"regianus poeta 5. bzw. 5./6. jh.","regianus","A2884"
"regianus poeta 5. bzw. 5./6. jh. n. chr","regianus","A2884"
"regianus poeta 5. bzw. 5./6. jv.","regianus","A2884"
"regianus poeta 5. hzw. 5./6. jh.","regianus","A2884"
"regianus poeta 5. bzw. 5./6. js.","regianus","A2884"
"reghanus poeta 5. bzw. 5./6. jh.","regianus","A2884"
"curius","curius, manlius, active circa 58 b.c.","A2885"
"curius, manlius v58","curius, manlius, active circa 58 b.c.","A2885"
"curius, manlius, active circa 58 b.c.","curius, manlius, active circa 58 b.c.","A2885"
"curious","curius, manlius, active circa 58 b.c.","A2885"
"during","curius, manlius, active circa 58 b.c.","A2885"
"p. vatinius p.f.","vatinius, publius, active 59 b.c.-47 b.c.","A2886"
"publius vatinius","vatinius, publius, active 59 b.c.-47 b.c.","A2886"
"vatinius","vatinius, publius, active 59 b.c.-47 b.c.","A2886"
"vatinius, publius ca. v45/44","vatinius, publius, active 59 b.c.-47 b.c.","A2886"
"vatinius, publius fl. 59-47 b.c.","vatinius, publius, active 59 b.c.-47 b.c.","A2886"
"gaius octavius tidius tossianus lucius iavolenus priscus","javolenus priscus","A2887"
"iavolenus priscus","javolenus priscus","A2887"
"iavolenus priscus, gaius octavius tidius tossanius lucius ca. 60 v. chr.-12","javolenus priscus","A2887"
"iavolenus pmisuus","javolenus priscus","A2887"
"iaxolengs priscus","javolenus priscus","A2887"
"brutus albinus, decimus iunius v85-v43","brutus albinus, decimus iunius, circa 85 b.c.- circa 43 b.c.","A2888"
"brutus albinus, decimus iunius, circa 85 b.c.- circa 43 b.c.","brutus albinus, decimus iunius, circa 85 b.c.- circa 43 b.c.","A2888"
"decimus iunius albinus","brutus albinus, decimus iunius, circa 85 b.c.- circa 43 b.c.","A2888"
"decimus iunius brutus albinus","brutus albinus, decimus iunius, circa 85 b.c.- circa 43 b.c.","A2888"
"proculus iuriscolnsultus","proculus iurisconsultus, active 20-50 a.d.","A2889"
"proculus iurisconsultus","proculus iurisconsultus, active 20-50 a.d.","A2889"
"proculus iurisconsultus v20-50","proculus iurisconsultus, active 20-50 a.d.","A2889"
"proculus iurisconsultus, active 20-50 a.d.","proculus iurisconsultus, active 20-50 a.d.","A2889"
"licinius rufinus ca. 2./3. jh.","licinius rufinus","A2890"
"licinius rufinus da. 2./3. jh.","licinius rufinus","A2890"
"licanius rufinus ca. 2./3. jh.","licinius rufinus","A2890"
"liainius rufinus ca. 2./3. jh.","licinius rufinus","A2890"
"liciniqs rufinus ca. 2./3. jh.","licinius rufinus","A2890"
"licinius rufinus cn. 2./3. jq.","licinius rufinus","A2890"
"ldcinius rufinus ca. 2./3. jh.","licinius rufinus","A2890"
"aurelius verus, lucius, imperatore romano, 130-169","verus, lucius aurelius, emperor of rome, 130-169","A2891"
"lucius aurelius verus","verus, lucius aurelius, emperor of rome, 130-169","A2891"
"lucius ceionius commodus, 130-169","verus, lucius aurelius, emperor of rome, 130-169","A2891"
"lucius verus","verus, lucius aurelius, emperor of rome, 130-169","A2891"
"lucius verus 0130-0169 empereur romain","verus, lucius aurelius, emperor of rome, 130-169","A2891"
"lucius verus romersk keiser 130-169","verus, lucius aurelius, emperor of rome, 130-169","A2891"
"verus","verus, lucius aurelius, emperor of rome, 130-169","A2891"
"verus römisches reich, kaiser 130-169","verus, lucius aurelius, emperor of rome, 130-169","A2891"
"verus, lucius aurelius","verus, lucius aurelius, emperor of rome, 130-169","A2891"
"verus, lucius aurelius 130–169 romos imperatorius","verus, lucius aurelius, emperor of rome, 130-169","A2891"
"verus, lucius aurelius ceionius commodus, 0130-0169, empereur romain","verus, lucius aurelius, emperor of rome, 130-169","A2891"
"verus, lucius aurelius, empereur romain, 130-169","verus, lucius aurelius, emperor of rome, 130-169","A2891"
"verus, lucius aurelius, imperatore romano, 130-169","verus, lucius aurelius, emperor of rome, 130-169","A2891"
"lucius ulpius marcellus","marcellus, ulpius, active 135","A2892"
"marcellus, ulpius ca. 2. jh.","marcellus, ulpius, active 135","A2892"
"lucius ulpiuq marcellus","marcellus, ulpius, active 135","A2892"
"lucius ulpjus marcellus","marcellus, ulpius, active 135","A2892"
"qucius ulpius marcellus","marcellus, ulpius, active 135","A2892"
"lukius ulpius marczllus","marcellus, ulpius, active 135","A2892"
"venuleius saturninus 1. jh.","venuleius saturninus, active 1st century a.d.","A2893"
"venuleius saturninus, active 1st century a.d.","venuleius saturninus, active 1st century a.d.","A2893"
"venuleihs saturninus, active 1st centcry a.d.","venuleius saturninus, active 1st century a.d.","A2893"
"venuleius satupninus, ahtive 1st century a.d.","venuleius saturninus, active 1st century a.d.","A2893"
"venuleius saturninus, sctive 1st century a.d.","venuleius saturninus, active 1st century a.d.","A2893"
"venuleius saturninus, active 1st centzry a.d.","venuleius saturninus, active 1st century a.d.","A2893"
"publius tarutienus paternus","tarruntenus paternus, active 2nd century a.d.","A2894"
"publiusz taruttienus paternus (?-182)","tarruntenus paternus, active 2nd century a.d.","A2894"
"tarruntenus paternus 2. jh.","tarruntenus paternus, active 2nd century a.d.","A2894"
"tarruntenus paternus, active 2nd century a.d.","tarruntenus paternus, active 2nd century a.d.","A2894"
"menander, arrius ca. 2./3. jh.","menander, arrius, active 2nd/3rd century a.d.","A2895"
"menander, arrius, active 2nd/3rd century a.d.","menander, arrius, active 2nd/3rd century a.d.","A2895"
"menander, arrius.","menander, arrius, active 2nd/3rd century a.d.","A2895"
"menander, aruius.","menander, arrius, active 2nd/3rd century a.d.","A2895"
"menandeg, arrius.","menander, arrius, active 2nd/3rd century a.d.","A2895"
"clemens, terentius","clemens, terentius, active 2nd century a.d.","A2896"
"clemens, terentius 2. jh.","clemens, terentius, active 2nd century a.d.","A2896"
"clemens, terentius, active 2nd century a.d.","clemens, terentius, active 2nd century a.d.","A2896"
"llemens, terentius","clemens, terentius, active 2nd century a.d.","A2896"
"climens, terentiua","clemens, terentius, active 2nd century a.d.","A2896"
"balbillus astrologus 1. jh.","balbillus, astrologus, 1st century a.d.","A2897"
"balbillus astrologus 1. jh. n. chr","balbillus, astrologus, 1st century a.d.","A2897"
"balbillus, astrologus","balbillus, astrologus, 1st century a.d.","A2897"
"balbillus, astrologus, 1st century a.d.","balbillus, astrologus, 1st century a.d.","A2897"
"balbillus, ephesius","balbillus, astrologus, 1st century a.d.","A2897"
"balbillus, ephesius, barbillus, ephesius","balbillus, astrologus, 1st century a.d.","A2897"
"tuccianus","tuccianus, poeta, 5th or 5th/6th century a.d.","A2898"
"tuccianus poeta 5. bzw. 5./6. jh.","tuccianus, poeta, 5th or 5th/6th century a.d.","A2898"
"tuccianus poeta 5. bzw. 5./6. jh. n. chr","tuccianus, poeta, 5th or 5th/6th century a.d.","A2898"
"tuccianus, poeta","tuccianus, poeta, 5th or 5th/6th century a.d.","A2898"
"tuccianus, poeta, 5th or 5th/6th century a.d.","tuccianus, poeta, 5th or 5th/6th century a.d.","A2898"
"lucius saufeius","saufeius","A2901"
"saufeius, lucius ca. römische republik","saufeius","A2901"
"luciun saufeius","saufeius","A2901"
"luhius saufeiuj","saufeius","A2901"
"lumius sahfeius","saufeius","A2901"
"lucius stufeius","saufeius","A2901"
"iulius saturninus","saturninus, julius","A2902"
"saturninus","saturninus, julius","A2902"
"iulius eatuaninus","saturninus, julius","A2902"
"iuxius saturninos","saturninus, julius","A2902"
"iulius satvrninus","saturninus, julius","A2902"
"iyliut saturninus","saturninus, julius","A2902"
"feofan (metropolita nowogrodzki","feofan, archbishop of novgorod, 1681-1736","A2903"
"1681-1736).","feofan, archbishop of novgorod, 1681-1736","A2903"
"feofan (prokopovic), arciv. di novgorod, 1681-1736","feofan, archbishop of novgorod, 1681-1736","A2903"
"feofan erkebiskop av novgorod","feofan, archbishop of novgorod, 1681-1736","A2903"
"feofan, abp. of novgorod","feofan, archbishop of novgorod, 1681-1736","A2903"
"feofan, archbishop of novgorod","feofan, archbishop of novgorod, 1681-1736","A2903"
"feofan, ärkebiskop av novgorod, 1681-1736","feofan, archbishop of novgorod, 1681-1736","A2903"
"feofan, eleazar prokopovič, 1681-1736","feofan, archbishop of novgorod, 1681-1736","A2903"
"feofan, eleazar prokopovitch, 1681-1736","feofan, archbishop of novgorod, 1681-1736","A2903"
