Name,Label
Abramius,Greek
Abydenus,Greek
Acacius,Greek
Acacius Sabaita,Greek
Acesander,Greek
Achaeus,Greek
Achilleis Byzantina,Greek
Achilles Tatius,Greek
Achmet,Greek
Acusilaus,Greek
Adamantius,Greek
Adamantius Coraes,Greek
Adamantius Judaeus,Greek
Adrianus,Greek
Aegimius,Greek
Aelianus,Greek
Aelius Aristides,Greek
Aelius Dionysius,Greek
Aelius Dius,Greek
Aelius Herodianus,Greek
Aelius Promotus,Greek
Aelius Theon,Greek
Aeschines,Greek
Aeschines Socraticus,Greek
Aeschrion,Greek
Aeschylus,Greek
Aeschylus Alexandrinus,Greek
Aeschylus Atheniensis,Greek
Aesopus,Greek
Aethiopis,Greek
Aethlius,Greek
Aetius Amidenus,Greek
Agaclytus,Greek
Agamestor,Greek
Agapetus,Greek
Agapius Landus,Greek
Agathangelus,Greek
Agatharchides,Greek
Agathemerus,Greek
Agathias Scholasticus,Greek
Agathocles,Greek
Agathodaemon,Greek
Agathon,Greek
Agathyllus,Greek
Agesilaus,Greek
Aglaosthenes,Greek
Aglais,Greek
Agroetas,Greek
Albinus,Greek
Alcaeus,Greek
Alcibiades,Greek
Alcidamas,Greek
Alcimenes,Greek
Alcimenes Atheniensis,Greek
Alcimus,Greek
Alciphron,Greek
Alcmaeon,Greek
Alcmaeonis,Greek
Alcman,Greek
Alexander Aphrodisiensis,Greek
Alexander Nicaeensis,Greek
Alexander Trallianus,Greek
Alexandrus IV Papa,Greek
Alexarchus,Greek
Alexinus,Greek
Alexis,Greek
Alexius,Greek
Alexius Aristenus,Greek
Alexius Episcopus Nicaeensis,Greek
Alexius I Comnenus,Greek
Alexius I Comnenus Imperator,Greek
Alexius Macrembolites,Greek
Alexius Studites,Greek
Alypius,Greek
Amelesagoras,Greek
Amipsias,Greek
Ammon,Greek
Ammonius,Greek
Amoerutzes Georgius,Greek
Amometus,Greek
Amphicrates,Greek
Amphilochius,Greek
Amphis,Greek
Amyntas,Greek
Anacharsis Sive Ananias,Greek
