"Title","DLL Identifier (Work)","DLL Identifier (Author)"
"de signis et symptomatibus aegritudinum","W10655","A3919"
"de coniuratione porcaria dialogus","W10654","A3221"
"alda","W10653","A4844"
"de viris illustribus","W10652","A4799"
"de philosophis","W10651","A4799"
"epigrammata super exilio","W10650","A4655"
"porcaria","W10649","A3205"
"liber de curatione egritudinum partium totius corporis","W10648","A3153"
"occupatio","W10646","A5521"
"liber senecae de moribus","W10636","A4655"
"praefationes","W10635","A3873"
"orationes","W10634","A3873"
"psyche et cupido","W10632","A5463"
"de facultatibus alimentorum ex paulo aegineta, albano torino interprete","W10631","A5986"
"de facultatibus alimentorum ex paulo aegineta, albano torino interprete","W10631","A3153"
"nicolai damasceni de institutione caesaris augusti","W10630","A4206"
"in l. apulei philosophi et advocati romani apologiam commentarius","W10629","A3130"
"de honesta voluptate et valetudine","W10628","A3806"
"de benedictionibus patriarchum","W10627","A5347"
"introductio ad theologiam","W10626","A5015"
"sermones per annum legendi","W10625","A5015"
"magistri petri abelardi et heloisssae coniugis eius epistolae","W10624","A5015"
"magistri petri abelardi et heloisssae coniugis eius epistolae","W10624","A4490"
"sequentiae et hymni per totum anni circulum in usum virginum monasterii paraclitensis","W10623","A5015"
"carmina","W10622","A5015"
"heloissae paraclitensis problemata cum mag. petri abaelardi solutionibus","W10621","A4490"
"epistola ad virgines paraclitenses de studio litterarum","W10620","A5015"
"logica ingredientibus","W10614","A5015"
"dialectica","W10616","A5015"
"logica nostrorum petitioni sociorum","W10617","A5015"
"tractatus de intellectibus","W10618","A5015"
"dialogus inter philosophum, judaeum, et christianum","W10619","A5015"
"de erycio nomine syntagma","W10613","A5621"
"venatio","W4894","A5473"
"orationes quinque","W4904","A5482"
"correctio librorum platonis de legibus, georgio trapezuntio interprete","W5390","A3305"
"in calumniatorem platonis libri quattuor","W5389","A3305"
"de divina in hominem benevolentia atque beneficentia orationes tres","W4900","A3391"
"de numero oratorio libri quinque","W4895","A3404"
"de episcoporum iurisdictione et pontificis maximi auctoritate responsum","W4906","A3415"
"de sacramento confessionis, seu paenitentiae, historia","W4886","A3407"
"de comitiali morbo","W4879","A3435"
"in epistolas ciceronis ad atticum pauli manutii commentarius","W4873","A3427"
"epistulae","W4868","A3427"
"alexandri aphrodisiensis problemata","W4864","A3424"
"alexandri aphrodisiensis problemata","W4864","A3394"
"aristotelis problemata","W4858","A3424"
"aristotelis problemata","W4858","A3548"
"theophrasti de causis plantarum libri vi","W4883","A3424"
"theophrasti de historia plantarum libri ix","W4876","A3424"
"aristotelis de generatione animalium libri v","W4870","A3424"
"aristotelis de generatione animalium libri v","W4870","A3548"
"aristotelis de partibus animalium libri iiii","W4867","A3424"
"aristotelis de partibus animalium libri iiii","W4867","A3548"
"aristotelis de natura animalium lib. ix","W4862","A3424"
"aristotelis de natura animalium lib. ix","W4862","A3548"
"pretiosa margarita novella","W4885","A5631"
"perduellionis rei defensiones duae","W4878","A3945"
"in librum psalmorum breuis explanatio ad alexandrum farnesium, cardinalem amplissimum","W4872","A3968"
"historiae venetae","W4840","A5607"
"de asse et partibus ius","W4833","A5600"
"epigrammata duodecim","W4857","A4758"
"neniae duodecim","W4853","A4758"
"tumulorum liber i","W4848","A4758"
"lepidina","W4881","A4758"
"de hortis hesperidum sive de cultu citriorum","W4854","A4758"
"de luna fragmentum","W4850","A4758"
"de fortuna","W4851","A4758"
"liber de meteoris","W4845","A4758"
"de immanitate","W4846","A4758"
"epistolae","W4842","A4758"
"de bello neapolitano","W4829","A4758"
"de rebus coelestibus libri xiv","W4837","A4758"
"dialogi","W4838","A4758"
"aegidius","W4866","A4758"
"actius","W4861","A4758"
"asinus","W4884","A4758"
"antonius","W4877","A4758"
"charon","W4871","A4758"
"de sermone libri vi","W4835","A4758"
"commentationes in centum claudii ptolemaei sententias","W4831","A4758"
"tractatus","W4844","A4758"
"de aspiratione","W4855","A4758"
"de magnanimitate","W4839","A4758"
"de prudentia","W4832","A4758"
"de conviventia","W4856","A4758"
"de splendore","W4852","A4758"
"de magnificentia","W4847","A4758"
"de beneficentia","W4841","A4758"
"de liberalitate","W4834","A4758"
"de fortitudine","W4859","A4758"
"de oboedientia","W4882","A4758"
"de principe","W4875","A4758"
"carmina","W4843","A4758"
"urania sive de stellis libri v","W4863","A4758"
"hendecasyllaborum seu baiarum libri ii","W4887","A4758"
"eridanus","W4880","A4758"
"meliseus","W4874","A4758"
"de amore coniugali libri iii","W4869","A4758"
"acon","W4865","A4758"
"maeon","W4828","A4758"
"parthenopei sive amorum libri ii","W4849","A4758"
"lepidina","W4836","A4758"
"de meteoris","W4860","A4758"
"carmina","W694","A4642"
"summa theologiae","W5219","A4997"
"sermones","W3859","A4760"
"lutheranismi hypotyposis","W5013","A4214"
"chronica pontificum et imperatorum","W3565","A5587"
"ars grammatica","W2087","A5426"
"summa theologica","W4347","A4151"
"periochae terentii comoediarum","W4952","A4569"
"epist. a p. cornelio dolabella","W2320","A3611"
"de analogia ad m. tullium ciceronem","W4414","A4644"
"epist. a cn. matius","W5181","A4634"
"iurisprudentia","W5168","A2870"
"epist. ab antonino pio","W5057","A2911"
"iurisprudentia","W4341","A2890"
"iurisprudentia","W4096","A2908"
"epist. a domitiano","W4068","A2907"
"iurisprudentia","W4081","A2892"
"fragmentum in quint. inst.","W3897","A2909"
"epist. ab l. lucceio","W3842","A2878"
"epist. ab l. aurelio vero","W3723","A2891"
"epist. a p. cornelio lentulo spinthero","W3506","A2872"
"epist. a q. caecilio metello celeri","W3323","A2875"
"iurisprudentia","W2956","A2905"
"iurisprudentia","W2977","A2896"
"iurisprudentia","W2474","A2894"
"iurisprudentia","W2357","A2895"
"iurisprudentia","W2315","A2873"
"epist. a m’. curio","W2038","A2885"
"iurisprudentia","W2027","A2877"
"iurisprudentia","W1798","A2887"
"epist. ab m. claudio marcello","W1628","A2871"
"epist. a q. caecilio nepoti metello","W1504","A2874"
"epist. a decimo iunio bruto albino","W1412","A2888"
"epist. a p. vatinio","W1337","A2886"
"iurisprudentia","W1268","A2912"
"iurisprudentia","W1229","A2893"
"epist. a nerva","W648","A2906"
"historiae","W633","A4636"
"epist. ab m. lepido","W483","A2913"
"epist. a c. trebonio","W5340","A2910"
"iurisprudentia","W479","A2889"
"iurisprudentia","W1364","A2876"
"orationes","W5182","A3576"
"fragmenta","W5171","A3193"
"grammatica","W3980","A3607"
"iurisprudentia","W3270","A4594"
"singulae uoces ex incertis libris","W3117","A5129"
"de virtutibus","W3133","A5129"
"protagoras","W3084","A5129"
"oeconomicus","W3125","A5129"
"de consiliis suis","W3064","A5129"
"consolatio","W3074","A5129"
"cato","W3080","A5129"
"de auguriis","W3075","A5129"
"chorographia","W3022","A5129"
"marius","W3118","A5129"
"limon","W3081","A5129"
"de gloria","W3128","A5129"
"epigrammata","W3025","A5129"
"elegia talemastis (dub.)","W3054","A5129"
"alcyones","W3089","A5129"
"fragmentum","W2952","A4591"
"epistulae","W2863","A3571"
"oratio","W2623","A4635"
"epistulae a traiano ad plinium","W4315","A4528"
"fragmenta","W1824","A3702"
"fragmenta in macrobio","W1585","A5677"
"iurisprudentia","W1470","A3533"
"grammatica","W718","A4552"
"fragmenta","W481","A3822"
"oratio pridie quam in exilium iret","W3082","A5129"
"pro l. vareno","W3121","A5129"
"in toga candida","W3119","A5129"
"pro oppio","W3105","A5129"
"contra contionem q. metelli","W3120","A5129"
"pro c. manilio","W3085","A5129"
"pro q. gallio","W3070","A5129"
"pro fundanio","W3093","A5129"
"pro cornelio","W3078","A5129"
"in p. clodium et c. curionem","W3027","A5129"
"de rege alexandrino","W3066","A5129"
"interrogatio de aere alieno milonis","W3023","A5129"
"epistulae a gn. pompeio magno","W3613","A3148"
"epistulae a servio sulpicio rufo","W4029","A3661"
"epistulae a q. tullio cicerone","W1263","A4668"
"epistulae a c. asinio pollione","W3662","A4581"
"epistula ab l. munatio planco","W124","A3138"
"dracontii librorum recognitio","W4503","A5369"
"dracontii librorum recognitio","W4503","A5395"
"de situ hierusolimitanae urbis (dub.)","W5166","A5383"
"epistulae sapphus (dub.)","W3843","A5522"
"epistolae septem (dub.)","W3726","A4934"
"alexandri tralliani de medicina (practica) (dub.)","W3255","A3120"
"carmina (dub.)","W2801","A3140"
"soliloquiorum animae ad deum (dub.)","W2128","A5497"
"sermo de mysterio baptisimatis (dub.)","W2130","A5497"
"tractatus de oratione et eleemosyna (dub.)","W2124","A5497"
"speculum peccatoris (dub.)","W2097","A5497"
"sermo de generalitate eleemosynarum (dub.)","W2121","A5497"
"miscellanea sententiae (dub.)","W2123","A5497"
"dialogus quaestionum lxv (dub.)","W2096","A5497"
"de visitatione infirmorum (dub.)","W2126","A5497"
"de diligendo deo (dub.)","W2122","A5497"
"tractatus de septem vitiis et septem donis spiritus sancti (dub.)","W2133","A5497"
"tractatus de creatione primi hominis (dub.)","W2116","A5497"
"speculum (dub.)","W2136","A5497"
"sermones quatuor sancto augustino attributi (dub.)","W2101","A5497"
"sermones ad fratres in eremo commorantes et quosdam alios (dub.)","W2099","A5497"
"sermo de eo quod neophytis ex oleo sancto aures et nares a sacerdotibus illiniantur (dub.)","W2112","A5497"
"sermo de bono disciplinae (dub.)","W2107","A5497"
"scala paradisi (dub.)","W2132","A5497"
"meditationum (dub.)","W2115","A5497"
"de vita christiana (dub.)","W2134","A5497"
"de trinitate et unitate dei (dub.)","W2098","A5497"
"de sobrietate et castitate (dub.)","W2129","A5497"
"de rectitudine catholicae conversationis tractatus (dub.)","W2111","A5497"
"de fide ad petrum sive de regula verae fidei (dub.)","W2100","A5497"
"de essentia divinitatis (dub.)","W2106","A5497"
"de duodecim abusionum gradibus (dub.)","W2131","A5497"
"de assumptione beatae mariae virginis (dub.)","W2114","A5497"
"(tractatus) de duodecim lapidibus (dub.)","W2095","A5497"
"soliloquiorum adscriptorum caput postremum (dub.)","W2118","A5497"
"sermo de vanitate saeculi (dub.)","W2105","A5497"
