"author","deterministic_author"
"Abbo, Monk of St. Germain, approximately 850-approximately 923.","{'authorized_name': 'abbo, monk of st. germain, approximately 850-approximately 923', 'author_id': 'A5397'}"
"Abelard, Peter, 1079-1142.","{'authorized_name': 'abelard, peter', 'author_id': 'A5015'}"
"Acosta, Jose de, 1540-1600.","{'authorized_name': 'acosta, josé de, 1540-1600', 'author_id': 'A5598'}"
"Acosta, José de, 1540-1600,","{'authorized_name': 'acosta, josé de, 1540-1600', 'author_id': 'A5598'}"
"Acosta, José de, 1540-1600.","{'authorized_name': 'acosta, josé de, 1540-1600', 'author_id': 'A5598'}"
"Agricola, Georg, 1494-1555","{'authorized_name': 'agricola, georg, 1494-1555', 'author_id': 'A3675'}"
"Agricola, Georg, 1494-1555.","{'authorized_name': 'agricola, georg, 1494-1555', 'author_id': 'A3675'}"
"Agricola, Rodolphus, 1443?-1485.","{'authorized_name': 'agricola, rodolphus, 1443?-1485', 'author_id': 'A4109'}"
"Agrippa von Nettesheim, Heinrich Cornelius, 1486?-1535.","{'authorized_name': 'agrippa von nettesheim, heinrich cornelius, 1486?-1535', 'author_id': 'A4098'}"
"Agustín, Antonio, 1517-1586","{'authorized_name': 'agustín, antonio, 1517-1586', 'author_id': 'A6001'}"
"Agustín, Antonio, 1517-1586.","{'authorized_name': 'agustín, antonio, 1517-1586', 'author_id': 'A6001'}"
"Agustín, Antonio, 1517-1586","{'authorized_name': 'agustín, antonio, 1517-1586', 'author_id': 'A6001'}"
"Agustín, Antonio, 1517-1586.","{'authorized_name': 'agustín, antonio, 1517-1586', 'author_id': 'A6001'}"
"Ailly, Pierre d', 1350-1420?","{'authorized_name': ""ailly, pierre d', 1350-1420"", 'author_id': 'A4352'}"
"Alanus de Insulis","{'authorized_name': 'alanus, de insulis', 'author_id': 'A4458'}"
"Alberti, Leon Battista, 1404-1472","{'authorized_name': 'alberti, leon battista, 1404-1472', 'author_id': 'A4087'}"
"Alberti, Leon Battista, 1404-1472.","{'authorized_name': 'alberti, leon battista, 1404-1472', 'author_id': 'A4087'}"
"Alberto Magno, Santo, 1206-1280","{'authorized_name': 'albertus, magnus, saint, 1193?-1280', 'author_id': 'A5478'}"
"Alberto Magno, Santo, 1206-1280.","{'authorized_name': 'albertus, magnus, saint, 1193?-1280', 'author_id': 'A5478'}"
"Albertus, Magnus, Saint, 1193?-1280","{'authorized_name': 'albertus, magnus, saint, 1193?-1280', 'author_id': 'A5478'}"
"Albertus, Magnus, Saint, 1193?-1280.","{'authorized_name': 'albertus, magnus, saint, 1193?-1280', 'author_id': 'A5478'}"
"Albertus, de Saxonia, d. 1390.","{'authorized_name': 'albertus, de saxonia, -1390', 'author_id': 'A4280'}"
"Alciati, Andrea, 1492-1550","{'authorized_name': 'alciati, andrea, 1492-1550', 'author_id': 'A4132'}"
"Alciati, Andrea, 1492-1550.","{'authorized_name': 'alciati, andrea, 1492-1550', 'author_id': 'A4132'}"
"Aldhelm, Saint, 640?-709.","{'authorized_name': 'aldhelm, saint', 'author_id': 'A5010'}"
"Aldrovandi, Ulisse, 1522-1605.","{'authorized_name': 'aldrovandi, ulisse, 1522-1605?', 'author_id': 'A4116'}"
"Aldrovandi, Ulisse, 1522-1605?","{'authorized_name': 'aldrovandi, ulisse, 1522-1605?', 'author_id': 'A4116'}"
"Alexander of Hales, ca. 1185-1245.","{'authorized_name': 'alexander, of hales, approximately 1185-1245', 'author_id': 'A4151'}"
"Alexander, de Villa Dei.","{'authorized_name': 'alexander, de villa dei', 'author_id': 'A5434'}"
"Alfred, of Sareshel","{'authorized_name': 'alfred, of sareshel', 'author_id': 'A4413'}"
"Alvares, Manuel, 1526-1583.","{'authorized_name': 'alvares, manuel, 1526-1583', 'author_id': 'A6175'}"
"Ambrose, Saint, Bishop of Milan, d. 397.","{'authorized_name': 'ambrose, saint, bishop of milan', 'author_id': 'A5347'}"
"Amelli, Ambrogio, 1848-1933.","{'authorized_name': 'amelli, ambrogio, 1848-1933', 'author_id': 'A6129'}"
"Amiano Marcelino.","{'authorized_name': 'ammianus marcellinus', 'author_id': 'A5452'}"
"Ampelius, Lucius","{'authorized_name': 'ampelius, lucius', 'author_id': 'A5058'}"
"Ampelius, Lucius.","{'authorized_name': 'ampelius, lucius', 'author_id': 'A5058'}"
"Andreas, Capellanus.","{'authorized_name': 'andreas, capellanus', 'author_id': 'A5454'}"
"Andreä, Johann Valentin, 1586-1654.","{'authorized_name': 'andreä, johann valentin, 1586-1654', 'author_id': 'A4229'}"
"Angeli, Pietro, 1517-1596","{'authorized_name': 'angèli, pietro, 1517-1596', 'author_id': 'A2965'}"
"Anselm, Saint, Archbishop of Canterbury, 1033-1109","{'authorized_name': 'anselm, saint, archbishop of canterbury', 'author_id': 'A5460'}"
"Anselm, Saint, Archbishop of Canterbury, 1033-1109.","{'authorized_name': 'anselm, saint, archbishop of canterbury', 'author_id': 'A5460'}"
"Antonius, Marcus, 83 B.C.?-30 B.C.","{'authorized_name': 'antonius, marcus, 83 b.c.?-30 b.c.', 'author_id': 'A3571'}"
"Apponius","{'authorized_name': 'apponius', 'author_id': 'A4523'}"
"Apponius.","{'authorized_name': 'apponius', 'author_id': 'A4523'}"
"Arator, Subdiaconus, fl. 513-544.","{'authorized_name': 'arator, subdiaconus', 'author_id': 'A5471'}"
"Arnobius, of Sicca","{'authorized_name': 'arnobius, of sicca', 'author_id': 'A5479'}"
"Arnobius, of Sicca.","{'authorized_name': 'arnobius, of sicca', 'author_id': 'A5479'}"
"Astruc, Jean, 1684-1766.","{'authorized_name': 'astruc, jean, 1684-1766', 'author_id': 'A5648'}"
"Augurelli, Giovanni Aurelio, approximately 1456-1524?,","{'authorized_name': 'augurelli, giovanni aurelio, approximately 1456-1524?', 'author_id': 'A2964'}"
"Augustine, Saint, Bishop of Hippo","{'authorized_name': 'augustine, of hippo, saint, 354-430', 'author_id': 'A5497'}"
"Augustine, Saint, Bishop of Hippo.","{'authorized_name': 'augustine, of hippo, saint, 354-430', 'author_id': 'A5497'}"
"Augustine, of Hippo, Saint, 354-430","{'authorized_name': 'augustine, of hippo, saint, 354-430', 'author_id': 'A5497'}"
"Augustine, of Hippo, Saint, 354-430,","{'authorized_name': 'augustine, of hippo, saint, 354-430', 'author_id': 'A5497'}"
"Augustine, of Hippo, Saint, 354-430.","{'authorized_name': 'augustine, of hippo, saint, 354-430', 'author_id': 'A5497'}"
"Aurelianus, Caelius","{'authorized_name': 'aurelianus, caelius', 'author_id': 'A5373'}"
"Aurelianus, Caelius.","{'authorized_name': 'aurelianus, caelius', 'author_id': 'A5373'}"
"Avancini, Nicolaus von, 1611-1686.","{'authorized_name': 'avancini, nicolaus von, 1611-1686', 'author_id': 'A4114'}"
"Aventinus, Johannes, 1477-1534.","{'authorized_name': 'aventinus, johannes, 1477-1534', 'author_id': 'A4082'}"
"Avienus, Rufius Festus","{'authorized_name': 'avienus, rufius festus', 'author_id': 'A5550'}"
"Avienus, Rufius Festus.","{'authorized_name': 'avienus, rufius festus', 'author_id': 'A5550'}"
"Bacon, Francis, 1561-1626","{'authorized_name': 'bacon, francis', 'author_id': 'A4711'}"
"Bacon, Francis, 1561-1626.","{'authorized_name': 'bacon, francis', 'author_id': 'A4711'}"
"Bacon, Roger, 1214?-1294","{'authorized_name': 'bacon, roger, 1214?-1294', 'author_id': 'A4387'}"
"Bacon, Roger, 1214?-1294.","{'authorized_name': 'bacon, roger, 1214?-1294', 'author_id': 'A4387'}"
"Baconthorpe, John, -1346.","{'authorized_name': 'baconthorpe, john, -1346', 'author_id': 'A3756'}"
"Baerle, Caspar van, 1584-1648.","{'authorized_name': 'baerle, caspar van, 1584-1648', 'author_id': 'A4128'}"
"Balde, Jakob, 1604-1668","{'authorized_name': 'balde, jakob', 'author_id': 'A4703'}"
"Balde, Jakob, 1604-1668.","{'authorized_name': 'balde, jakob', 'author_id': 'A4703'}"
"Baptista, Mantuanus, 1448-1516.","{'authorized_name': 'baptista, mantuanus, 1448-1516', 'author_id': 'A3892'}"
"Barclay, John, 1582-1621.","{'authorized_name': 'barclay, john, 1582-1621', 'author_id': 'A5595'}"
"Barth, Caspar von, 1587-1658.","{'authorized_name': 'barth, kaspar von, 1587-1658', 'author_id': 'A4102'}"
"Barth, Kaspar von, 1587-1658.","{'authorized_name': 'barth, kaspar von, 1587-1658', 'author_id': 'A4102'}"
"Bartholin, Thomas, 1616-1680","{'authorized_name': 'bartholin, thomas, 1616-1680', 'author_id': 'A4111'}"
"Bartholin, Thomas, 1616-1680.","{'authorized_name': 'bartholin, thomas, 1616-1680', 'author_id': 'A4111'}"
"Bartolo, of Sassoferrato, 1313-1357.","{'authorized_name': 'bartolo, of sassoferrato, 1313-1357', 'author_id': 'A4321'}"
"Basinio, da Parma, 1425-1457.","{'authorized_name': 'basinio, da parma, 1425-1457', 'author_id': 'A4146'}"
"Baudouin, François, 1520-1573.","{'authorized_name': 'baudouin, françois, 1520-1573', 'author_id': 'A4124'}"
