"author","distilbert_author","count"
"Abbo, Monk of St. Germain, approximately 850-approximately 923.","{'authorized_name': 'abbo, monk of st. germain, approximately 850-approximately 923', 'author_id': 'A5397'}","1"
"Abelard, Peter, 1079-1142.","{'authorized_name': 'abelard, peter', 'author_id': 'A5015'}","2"
"Acosta, Jose de, 1540-1600.","{'authorized_name': 'acosta, josé de, 1540-1600', 'author_id': 'A5598'}","1"
"Acosta, José de, 1540-1600,","{'authorized_name': 'acosta, josé de, 1540-1600', 'author_id': 'A5598'}","1"
"Acosta, José de, 1540-1600.","{'authorized_name': 'acosta, josé de, 1540-1600', 'author_id': 'A5598'}","4"
"Agobard, Saint, 769-840.","{'authorized_name': 'agobard, saint', 'author_id': 'A4476'}","2"
"Agricola, Georg, 1494-1555","{'authorized_name': 'agricola, georg, 1494-1555', 'author_id': 'A3675'}","3"
"Agricola, Georg, 1494-1555.","{'authorized_name': 'agricola, georg, 1494-1555', 'author_id': 'A3675'}","2"
"Agricola, Rodolphus, 1443?-1485.","{'authorized_name': 'agricola, rodolphus, 1443?-1485', 'author_id': 'A4109'}","1"
"Agricola, Rudolf, 1443?-1485.","{'authorized_name': 'agricola, rodolphus, 1443?-1485', 'author_id': 'A4109'}","3"
"Agrippa von Nettesheim, Heinrich Cornelius, 1486?-1535.","{'authorized_name': 'agrippa von nettesheim, heinrich cornelius, 1486?-1535', 'author_id': 'A4098'}","4"
"Agustin, Santo, Obispo de Hipona, 354-430.","{'authorized_name': 'augustine, of hippo, saint, 354-430', 'author_id': 'A5497'}","2"
"Agustín, Antonio, 1517-1586","{'authorized_name': 'agustín, antonio, 1517-1586', 'author_id': 'A6001'}","2"
"Agustín, Antonio, 1517-1586.","{'authorized_name': 'agustín, antonio, 1517-1586', 'author_id': 'A6001'}","1"
"Agustín, Antonio, 1517-1586","{'authorized_name': 'agustín, antonio, 1517-1586', 'author_id': 'A6001'}","1"
"Agustín, Antonio, 1517-1586.","{'authorized_name': 'agustín, antonio, 1517-1586', 'author_id': 'A6001'}","24"
"Agustín, Santo, Obispo de Hipona, 354-430","{'authorized_name': 'augustine, of hippo, saint, 354-430', 'author_id': 'A5497'}","2"
"Agustín, Santo, Obispo de Hipona, 354-430.","{'authorized_name': 'augustine, of hippo, saint, 354-430', 'author_id': 'A5497'}","34"
"Ailly, Pierre d', 1350-1420?","{'authorized_name': ""ailly, pierre d', 1350-1420"", 'author_id': 'A4352'}","2"
"Alanus de Insulis","{'authorized_name': 'alanus, de insulis', 'author_id': 'A4458'}","1"
"Alanus, de Insulis, d. 1202.","{'authorized_name': 'alanus, de insulis', 'author_id': 'A4458'}","1"
"Alberti, Leon Battista, 1404-1472","{'authorized_name': 'alberti, leon battista, 1404-1472', 'author_id': 'A4087'}","5"
"Alberti, Leon Battista, 1404-1472.","{'authorized_name': 'alberti, leon battista, 1404-1472', 'author_id': 'A4087'}","1"
"Alberto Magno, Santo, 1206-1280","{'authorized_name': 'albertus, magnus, saint, 1193?-1280', 'author_id': 'A5478'}","2"
"Alberto Magno, Santo, 1206-1280.","{'authorized_name': 'albertus, magnus, saint, 1193?-1280', 'author_id': 'A5478'}","6"
"Albertus, Magnus, Saint, 1193?-1280","{'authorized_name': 'albertus, magnus, saint, 1193?-1280', 'author_id': 'A5478'}","163"
"Albertus, Magnus, Saint, 1193?-1280.","{'authorized_name': 'albertus, magnus, saint, 1193?-1280', 'author_id': 'A5478'}","65"
"Albertus, de Saxonia, d. 1390.","{'authorized_name': 'albertus, de saxonia, -1390', 'author_id': 'A4280'}","1"
"Alciati, Andrea, 1492-1550","{'authorized_name': 'alciati, andrea, 1492-1550', 'author_id': 'A4132'}","3"
"Alciati, Andrea, 1492-1550.","{'authorized_name': 'alciati, andrea, 1492-1550', 'author_id': 'A4132'}","35"
"Alciati, Andrea.","{'authorized_name': 'alciati, andrea, 1492-1550', 'author_id': 'A4132'}","3"
"Alcuin, 735-804","{'authorized_name': 'alcuin, 735-804', 'author_id': 'A5450'}","1"
"Alcuin, 735-804.","{'authorized_name': 'alcuin, 735-804', 'author_id': 'A5450'}","2"
"Aldhelm, Saint, 640?-709.","{'authorized_name': 'aldhelm, saint', 'author_id': 'A5010'}","6"
"Aldrovandi, Ulisse, 1522-1605.","{'authorized_name': 'aldrovandi, ulisse, 1522-1605?', 'author_id': 'A4116'}","6"
"Aldrovandi, Ulisse, 1522-1605?","{'authorized_name': 'aldrovandi, ulisse, 1522-1605?', 'author_id': 'A4116'}","8"
"Alegre, Francisco Javier.","{'authorized_name': 'alegre, francisco javier, 1729-1788', 'author_id': 'A4084'}","6"
"Alexander of Hales, ca. 1185-1245.","{'authorized_name': 'alexander, of hales, approximately 1185-1245', 'author_id': 'A4151'}","1"
"Alexander, de Villa Dei.","{'authorized_name': 'alexander, de villa dei', 'author_id': 'A5434'}","1"
"Alfred, of Sareshel","{'authorized_name': 'alfred, of sareshel', 'author_id': 'A4413'}","1"
"Alvares, Manuel (S.I.), 1526-1583","{'authorized_name': 'alvares, manuel, 1526-1583', 'author_id': 'A6175'}","8"
"Alvares, Manuel (S.I.), 1526-1583.","{'authorized_name': 'alvares, manuel, 1526-1583', 'author_id': 'A6175'}","9"
"Alvares, Manuel, 1526-1583.","{'authorized_name': 'alvares, manuel, 1526-1583', 'author_id': 'A6175'}","2"
"Ambrose, Saint, Bishop of Milan, -397","{'authorized_name': 'ambrose, saint, bishop of milan', 'author_id': 'A5347'}","17"
"Ambrose, Saint, Bishop of Milan, -397.","{'authorized_name': 'ambrose, saint, bishop of milan', 'author_id': 'A5347'}","22"
"Ambrose, Saint, Bishop of Milan, d. 397.","{'authorized_name': 'ambrose, saint, bishop of milan', 'author_id': 'A5347'}","8"
"Ambrosio, Santo, Obispo de Milán, 340-397.","{'authorized_name': 'ambrose, saint, bishop of milan', 'author_id': 'A5347'}","9"
"Amelli, Ambrogio, 1848-1933.","{'authorized_name': 'amelli, ambrogio, 1848-1933', 'author_id': 'A6129'}","1"
"Amiano Marcelino.","{'authorized_name': 'ammianus marcellinus', 'author_id': 'A5452'}","1"
"Ammianus Marcellinus","{'authorized_name': 'ammianus marcellinus', 'author_id': 'A5452'}","2"
"Ammianus Marcellinus.","{'authorized_name': 'ammianus marcellinus', 'author_id': 'A5452'}","42"
"Ampelius, Lucius","{'authorized_name': 'ampelius, lucius', 'author_id': 'A5058'}","1"
"Ampelius, Lucius.","{'authorized_name': 'ampelius, lucius', 'author_id': 'A5058'}","4"
"Andreas, Capellanus.","{'authorized_name': 'andreas, capellanus', 'author_id': 'A5454'}","1"
"Andreä, Johann Valentin, 1586-1654.","{'authorized_name': 'valentinus', 'author_id': 'A4832'}","1"
"Angeli, Pietro, 1517-1596","{'authorized_name': 'angèli, pietro, 1517-1596', 'author_id': 'A2965'}","6"
"Anselm, Saint, Archbishop of Canterbury, 1033-1109","{'authorized_name': 'anselm, saint, archbishop of canterbury', 'author_id': 'A5460'}","8"
"Anselm, Saint, Archbishop of Canterbury, 1033-1109.","{'authorized_name': 'anselm, saint, archbishop of canterbury', 'author_id': 'A5460'}","4"
"Anselmo, Santo, Arzobispo de Canterbury, 1033-1109","{'authorized_name': 'anselm, saint, archbishop of canterbury', 'author_id': 'A5460'}","2"
"Anselmo, Santo, Arzobispo de Canterbury, 1033-1109.","{'authorized_name': 'anselm, saint, archbishop of canterbury', 'author_id': 'A5460'}","1"
"Antonius, Marcus, 83 B.C.?-30 B.C.","{'authorized_name': 'antonius, marcus, 83 b.c.?-30 b.c.', 'author_id': 'A3571'}","1"
"Aponius.","{'authorized_name': 'apponius', 'author_id': 'A4523'}","1"
"Arator, Subdiaconus, fl. 513-544.","{'authorized_name': 'arator, subdiaconus', 'author_id': 'A5471'}","1"
"Arnobius, of Sicca","{'authorized_name': 'arnobius, of sicca', 'author_id': 'A5479'}","10"
"Arnobius, of Sicca.","{'authorized_name': 'arnobius, of sicca', 'author_id': 'A5479'}","1"
"Astruc, Jean, 1684-1766.","{'authorized_name': 'astruc, jean, 1684-1766', 'author_id': 'A5648'}","14"
"Augurelli, Giovanni Aurelio, approximately 1456-1524?,","{'authorized_name': 'augurelli, giovanni aurelio, approximately 1456-1524?', 'author_id': 'A2964'}","1"
"Augustine, Saint, Bishop of Hippo","{'authorized_name': 'augustine, of hippo, saint, 354-430', 'author_id': 'A5497'}","39"
"Augustine, Saint, Bishop of Hippo.","{'authorized_name': 'augustine, of hippo, saint, 354-430', 'author_id': 'A5497'}","54"
"Augustine, of Hippo, Saint, 354-430","{'authorized_name': 'augustine, of hippo, saint, 354-430', 'author_id': 'A5497'}","31"
"Augustine, of Hippo, Saint, 354-430,","{'authorized_name': 'augustine, of hippo, saint, 354-430', 'author_id': 'A5497'}","2"
