"author","title","tokenized_title","matched_title_deterministic","matched_title_fuzzy","fuzzy_title_score"
"Livy","T. Livii Ab urbe condita liber tricesimus tertius ... / ... editit et adnotationem criticam adiecit Ioannes Theophilus Kreyssig.","['liuii', 'urbs', 'condo', 'tricesimus', 'tertius', 'edito', 'adnotatio', 'criticus', 'adicio', 'iohannes', 'theophilus', '']","Unknown","ab urbe condita","0.8888888888888888"
"Tacitus, Cornelius","C. Cornelii Taciti Historiarum libri quinque : accedit De moribus Germanorum libellus, Julii Agricolæ vita, De oratoribus dialogus : cum excerptis variorum notis / Jac. L. Kingsley ... editore.","['cornelius', 'taceo', 'historia', 'quinque', 'accedo', 'mos', 'germanus', 'libellus', 'julius', 'agricolæs', 'uita', 'orator', 'dialogus', 'excerpo', 'uarius', 'nosco', 'jacientia', '', 'editor']","Unknown","dialogus de oratoribus","0.926829268292683"
"Livy","T. Livii Patavini Historiarum ab urbe condita libri, qui supersunt, omnes. Cum notis integris Laur. Vallae ... [et al.]; excerptis Petr. Nannii, Justi Lipsii, Fr. Modii, Jani Gruteri; nec non ineditis Jani Gebhardi, Car. And. Dukeri, et aliorum. Curante Arn. Drakenborch, qui et suas adnotationes adjecit. Accedunt supplementa deperditorum T. Livii librorum a Jo. Freinshemio concinnata.","['liuii', '', 'historia', 'urbs', 'condo', 'supersum', 'omnis', 'nosco', 'integer', 'laurio', 'ualla', 'alc', 'excerpo', 'petro', 'nannius', 'justus', 'lhipsius', 'fr', 'modium', 'janus', 'gruterus', 'inedeo', 'janus', 'gebhardus', 'car', '', 'dukeo', 'alius', 'curo', 'arn', 'drakenborchs', 'adnotatio', 'adiicio', 'accedo', 'supplementum', 'deperdo', 'liuii', 'joaestio', 'freinshemium', 'concinno']","Unknown","ab urbe condita","1.0"
"Livy","T. Livii Patavini Historiarum ab urbe condita libri, qui supersunt, omnes : cum notis integris Laur. Vallae, M. Ant. Sabellici, Beati Rhenani, Sigism. Gelenii, Henr. Loriti Glareani, Car. Signonii, Fulvii Ursini, Franc. Sanctii, J. Fr. Gronovii, Tan. Fabri, Henr. Valesii, Jac. Perizonii, Jac. Gronovii; excerptis Petr. Nannii Justi Lipsii, Fr. Modii, Jani Gruteri; nec non ineditis Jani Gebhardi, Car. And. Dureri, et aliorum, / curante Arn. Drakenborch, qui et suas adnotationes adjecit; accedunt supplementa deperditorum T. Livii librorum a Jo. Freinshemio concinnata.","['liuii', '', 'historia', 'urbs', 'condo', 'supersum', 'omnis', 'nosco', 'integer', 'laurio', 'ualla', 'sabellicus', 'beatus', 'rhenanus', 'sigism', 'gelenium', 'henr', 'loritus', 'glareanus', 'car', 'signonius', 'fulvii', 'ursinus', 'fric', 'sanctius', 'fr', '', 'tan', 'faber', 'henr', '', 'jacientia', 'perizonium', 'jacientia', '', 'excerpo', 'petro', 'nannius', 'justus', 'lhipsius', 'fr', 'modium', 'janus', 'gruterus', 'inedeo', 'janus', 'gebhardus', 'car', '', 'dureo', 'alius', 'curo', 'arn', 'drakenborchs', 'adnotatio', 'adiicio', 'accedo', 'supplementum', 'deperdo', 'liuii', 'joaestio', 'freinshemium', 'concinno']","Unknown","ab urbe condita","1.0"
"Lucretius Carus, Titus","De rerum natura libri sex / ex editione Gilberti Wakefieldi cum notis et interpretatione in usum Delphini variis lectionibus notis variorum recensu editionum et codicum et indice locupletissimo accurate recensiti.","['res', 'natura', 'sex', 'editio', 'gilbertus', 'wakefieldus', 'nosco', 'interpretatio', 'usus', 'delphinum', 'uarius', 'lectio', 'nosco', 'uarius', 'recenseo', 'editio', 'codex', 'indices', 'locupletissimus', 'accurate', 'recenno']","Unknown","de rerum natura","0.8888888888888888"
"Lucretius Carus, Titus","T. Lucreti Cari, De rerum natura libri sex, ex editione Gilberti Wakefieldi, cum notis et interpretatione in usum Delphini, variis lectionibus, notis variorum, recensu editionum et codicum et indice locupletissimo accurate recensiti.","['', 'carus', 'res', 'natura', 'sex', 'editio', 'gilbertus', 'wakefieldus', 'nosco', 'interpretatio', 'usus', 'delphinum', 'uarius', 'lectio', 'nosco', 'uarius', 'recenseo', 'editio', 'codex', 'indices', 'locupletissimus', 'accurate', 'recenno']","Unknown","de rerum natura","0.8888888888888888"
"Livy","Titi Livii Ab urbe condita liber XXI / Nach Text und Kommentar getrennte ausg. für den Schulgebrauch von Franz Luterbacher ...","['titus', 'liuii', 'urbs', 'condo', 'xxi', '', 'texto', '', 'kommentars', '', '', 'denen', 'schulgebrauch', 'uon', '', 'luterbacher']","Unknown","ab urbe condita","0.8888888888888888"
"Livy.","T. Livii Patavini Historiarum ab urbe condita libri : qui supersunt, omnes, cum deperditorum fragmentis et epitomis omnium. Ad optimas editiones emendavit, selectamque lectionum varietatem textui subjecit / Leon. Tafel.","['liuii', '', 'historia', 'urbs', 'condo', 'supersum', 'omnis', 'deperdo', 'fragmentum', 'epitome', 'omnis', 'optimas', 'editio', 'emendo', 'seligo', 'que', 'lectio', 'uarietas', 'textus', 'subiicio', 'leon', 'tafel']","Unknown","ab urbe condita","1.0"
"Cicero, Marcus Tullius","M. Tullii Ciceronis Academicorum libri duo et De finibus bonorum et malorum libri quinque. Cum integra varietate Victoriana, Lambiniana, Davisiana ... [et al] reliquaeque accurato delectu. Edidit Io. Casp. Orellius. Accedunt Aurelii Augustini adversus academicos libri tres. Petri Valentiae Academica. Durandi curae posteriores ineditae. Morelii adnotationes criticae in libros de finibus.","['tullius', 'cicero', 'academicus', 'duo', 'finis', 'bonus', 'malus', 'quinque', 'integer', 'uarietas', 'uictorianus', 'lambinianus', 'davisianus', 'alc', 'reliquus', 'que', 'accuro', 'delectus', 'edo', 'ioc', 'casp', 'orellus', 'accedo', 'aurelius', 'augustinus', 'aduersus', 'academicus', 'tres', 'petrus', 'ualentia', 'academicus', 'duror', 'cura', 'posterior', '', 'morelius', 'adnotatio', 'criticus', 'finis']","Unknown","de finibus","1.0"
"Livy","Titi Livii ... Historiarum ab urbe condita libri XXI., XXII. Livy's History of Rome books XXI., XXII. during the second Punic War, B.C. 219 to B.C. 216. With English notes by W. Brownrigg Smith ... For the use of colleges and schools.","['titus', 'liuii', 'historia', 'urbs', 'condo', 'xxi', 'xxii', '', 'history', 'of', 'roma', '', 'xxi', 'xxii', '', 'the', 'second', '', 'war', 'to', 'withn', '', 'noto', 'by', '', 'smith', 'for', 'tha', 'utor', 'of', 'collex', '', 'schoolss']","Unknown","ab urbe condita","1.0"
"Lucretius Carus, Titus.","Titi Lucretii Cari De rerum natura libri sex cum selectis optimorum interpretum adnotationibus, quibus suas adjecit P. Aug. Lemaire ...","['titus', 'lucretium', 'carus', 'res', 'natura', 'sex', 'seligo', 'optimus', 'interpres', 'adnotatio', 'adiicio', 'lemaio']","Unknown","de rerum natura","0.8888888888888888"
"Vitruvius Pollio.","M. Vitrvvii De architectura libri decem : summa diligentia recogniti atq; excusi : cum nonnullis figuris sub hoc signo * positis, nunq̃ antea impraessis : additis Iulij Frontini De aqueductibus libris, proter materiae affinitatem.","['', 'architectura', 'decem', 'summus', 'diligentia', 'recogno', 'atq', 'excudo', 'nonnullus', 'figura', 'signum', 'pono', 'antea', '', 'addo', 'iulijs', 'frontinum', 'aqueductus', 'proter', 'materia', 'affinitas']","Unknown","de architectura","0.8888888888888888"
"Vitruvius Pollio.","M. Vitruvii Pollionis De architectura libri decem / Cum notis, castigationibus & observationibus Guilielmi Philandri integris, Danielis Barbari excerptis, & Claudii Salmasii passim insertis. Praemittuntur Elementa architecturae collecta ab... Henrico Wottono... Accedunt Lexicon Vitruvianum Bernardini Baldi... et ejusdem Scamilli impares Vitruviani. De pictura libri tres absolutissimi Leonis Baptistae de Albertis. De sculptura, excerpta maxime animadvertenda ex dialogo Pomponii Gaurici... Ludovici Demontiosii Commentarius de sculptura et pictura. Cum variis indicibus copiosissimis. Omnia in unum collecta, digesta & illustrata a Ioanne de Laet...","['', 'pollio', 'architectura', 'decem', 'nosco', 'castigatio', 'obseruatio', 'guilielmus', 'philandrus', 'integer', 'danielis', 'barbarus', 'excerpo', 'claudium', 'salmasius', 'passum', 'insero', 'praemitto', 'elementum', 'architectura', 'collecta', 'henricus', 'wottonus', 'accedo', 'lexicon', 'uitruvianus', 'bernardinus', 'baldus', 'jdem', 'scamillus', 'impar', 'uitruvian', 'pictura', 'tres', 'absolutissimus', 'leo', 'baptista', 'albertus', 'sculptura', 'excerbo', 'magne', 'animaduerto', 'dialogus', 'pomponium', 'gauricus', 'ludovicus', '', 'commentarius', 'sculptura', 'pictura', 'uarius', 'index', 'copiosissimus', 'omnis', 'unus', 'collecta', 'digero', 'illustro', 'ioannes', 'laet']","Unknown","de architectura","1.0"
"Vitruvius Pollio.","M. Vitruuii Pollionis de architectura libri decem / cum commentariis Danielis Barbari, electi patriarchae Aquileiensis ; multis aedificiorum, horologiorum, et machinarum descriptionibus, & figuris, unà cum indicibus copiosis, auctis & illustratis.","['uitruuii', 'pollio', 'architectura', 'decem', 'commentarius', 'daniel', 'barbarus', 'eligo', 'patriarchas', 'aquileiens', 'multus', 'aedificium', 'horologium', 'machina', 'descriptio', 'figura', 'index', 'copiosus', 'auctus', 'illustro']","Unknown","de architectura","1.0"
"Vitruvius Pollio","Marci Vitruvii Pollionis De architectura libri decem : ope codicis Guelferbytani, editionis principis, ceterorumque subsidiorum recensuit, et glossario in quo vocabula artis propria Germ. Ital. Gall. et Angl. / explicantur, illustravit Augustus Rode Dessaviensis.","['marcus', '', 'pollio', 'architectura', 'decem', 'ops', 'codex', 'guelferbytanus', 'editio', 'princeps', 'ceterus', 'que', 'subsidium', 'recenseo', 'glossarium', 'uocabulum', 'ars', 'proprius', 'germsiastes', '', 'gall', '', 'explico', 'illustro', 'augustus', 'rodo', 'dessaviendo']","Unknown","de architectura","0.8888888888888888"
"Vitruvius Pollio.","Hoc in uolumine hæc opera continentur.  Cleonidæ harmonicum introductorium / interprete Georgio Valla Placentino.  L. Vitruuii Pollionis De architectura libri decem.  Sexti Iulii Frontini De aquæductibus liber unus.  Angeli policiani opusculum; quod Panepistomon inscribitur.  Angeli Policiani in priora analytica prælectio.  Cui titulus est Lamia.","['uolumen', '', 'opus', 'contineo', '', 'harmonicus', 'introductorium', 'interpres', 'georgius', 'uallum', 'placentinus', 'uitruuii', 'pollio', 'architectura', 'decem', 'sextus', 'iulius', 'frontinum', 'aquæducs', 'unus', 'angelus', 'policianus', 'opusculum', 'panepistomon', 'inscribo', 'angelus', 'policianus', 'prior', 'analyticus', 'prælectio', 'titulus', 'lamia']","Unknown","de architectura","0.8888888888888888"
"Vitruvius Pollio.","Marci Vitruvii Pollionis De architectura libri decem / ex fide librorum scriptorum recensuit atque emendavit et in Germanicum sermonem vertit Carolus Lorentzen.","['marcus', '', 'pollio', 'architectura', 'decem', 'fides', 'scriptor', 'recenseo', 'emendo', 'germanicus', 'sermo', 'uerto', 'carolus', 'lorentzen']","Unknown","de architectura","0.8888888888888888"
"Vitruvius Pollio.","Vitruvii de architectura libri decem. Ad antiquissimos codices nunc primum ediderunt Valentinus Rose et Herman Müller-Strübing.","['', 'architectura', 'decem', 'antiquissimus', 'codex', 'nunc', 'primum', 'edo', 'ualentinus', 'rodo', 'hermans', '', '']","Unknown","de architectura","1.0"
"Lucretius Carus, Titus","T. Lucreti Cari De rerum natura liber quintus; edited with introduction and notes by J.D. Duff ... Edited for the syndics of the University Press.","['', 'co', 'res', 'natura', 'quintus', 'edited', '', 'introduction', 'andus', 'noto', 'by', '', 'editet', 'for', 'the', 'syndics', 'of', 'tha', '', 'press']","Unknown","de rerum natura","0.8888888888888888"
"Livy","T. Livii Patavini Historiarum ab urbe condita libri qui supersunt omnes / ex recensione Arn. Drakenborchii ; praeter varietatem lectionum Gronovianae, Crevierianae Kreyssigianae, et Bekkerianae, accedunt notae integrai ex editionibus J.B.L. Crevierii ; cum indice rerium locupletissimo.","['liuii', '', 'historia', 'urbs', 'condo', 'supersum', 'omnis', 'recensio', 'arn', '', 'praeter', 'uarietas', 'lectio', 'gronovianus', 'crevierianus', 'kreyssigianus', 'bekkerianus', 'accedo', 'notus', 'integraus', 'editio', '', 'indices', 'rerium', 'locupletissimus']","Unknown","ab urbe condita","1.0"
"Livy","T. Livii Ab urbe condita lib. III-Vi qvae svpersvnt in codice rescripto Veronensi Descripsit et edidit Th. Mommsen. Ex commentationibvs Regiae academiae scientiarvm Berolinensis.","['liuii', 'urbs', 'condo', 'iii', 'uis', 'quus', '', 'codex', 'rescribo', '', 'describo', 'edo', 'th', 'mommses', 'commentationibvss', 'regius', 'academia', 'scientiarv', 'berolinensis']","Unknown","ab urbe condita","0.8888888888888888"
"Rutilius Namatianus, Claudius, active 5th century.","De reditu suo libri II, accedunt Hadriani, Flori, Apuleii, Anniani, Sereni aliorumque saec. A.V.C.X. poetarum reliquiae; recensuit et praefatus est Lucianus Mueller.","['reditus', 'ii', 'accedo', 'hadrianus', 'flos', 'apuleius', 'annianus', 'serenus', 'alius', 'que', 'saec', 'poeta', 'reliquiae', 'recenseo', 'praefor', 'lucianus', '']","Unknown","de reditu suo","0.8695652173913043"
"Lucretius Carus, Titus","T. Lucretii Cari de rerum natura : libri sex / ad optimorum librorum, fidem edidit, perpetuam annotationem, criticam grammaticam et exegeticam adiecit Albertus Forbiger.","['lucretium', 'co', 'res', 'natura', 'sex', 'optimus', 'fides', 'edo', 'perpetuus', 'annotatio', 'criticus', 'grammaticus', 'exegeticus', 'adicio', 'albertus', 'forbiger']","Unknown","de rerum natura","1.0"
"Cicero, Marcus Tullius","De natura deorum libri tres. Codicibus Musei Britannici collatis sex recensuit, atque animadversionibus criticis instruxit Henricus Alanus, Hibernus.","['natura', 'deus', 'tres', 'codex', 'museum', 'britannicus', 'confero', 'sex', 'recenseo', 'animaduersio', 'criticus', 'instruo', 'henricus', 'alanus', 'hibernus']","Unknown","de natura deorum","0.896551724137931"
"Lucretius Carus, Titus","De rerum natura libri sex, quibus notas addidit Thomas Creech accedunt annotationes R. Bentleii, variae lectiones IV. edd. antiquissimarum neconon index locupletissimus.","['res', 'natura', 'sex', 'noto', 'addo', 'thomas', '', 'accedo', 'annotatio', 'bentleius', 'uarius', 'lectio', 'iv', 'eddus', 'antiquissimus', 'neconon', 'index', 'locupletis']","Unknown","de rerum natura","0.8888888888888888"
