author,title,matched_title_fuzzy,fuzzy_title_score,correct
Livy,"T. Livii Patavini Historiarum ab urbe condita libri, qui supersunt, omnes. Cum notis integris Laur. Vallae ... [et al.]; excerptis Petr. Nannii, Justi Lipsii, Fr. Modii, Jani Gruteri; nec non ineditis Jani Gebhardi, Car. And. Dukeri, et aliorum. Curante Arn. Drakenborch, qui et suas adnotationes adjecit. Accedunt supplementa deperditorum T. Livii librorum a Jo. Freinshemio concinnata.",ab urbe condita,1,yes
Livy,"T. Livii Patavini Historiarum ab urbe condita libri, qui supersunt, omnes : cum notis integris Laur. Vallae, M. Ant. Sabellici, Beati Rhenani, Sigism. Gelenii, Henr. Loriti Glareani, Car. Signonii, Fulvii Ursini, Franc. Sanctii, J. Fr. Gronovii, Tan. Fabri, Henr. Valesii, Jac. Perizonii, Jac. Gronovii; excerptis Petr. Nannii Justi Lipsii, Fr. Modii, Jani Gruteri; nec non ineditis Jani Gebhardi, Car. And. Dureri, et aliorum, / curante Arn. Drakenborch, qui et suas adnotationes adjecit; accedunt supplementa deperditorum T. Livii librorum a Jo. Freinshemio concinnata.",ab urbe condita,1,yes
Livy.,"T. Livii Patavini Historiarum ab urbe condita libri : qui supersunt, omnes, cum deperditorum fragmentis et epitomis omnium. Ad optimas editiones emendavit, selectamque lectionum varietatem textui subjecit / Leon. Tafel.",ab urbe condita,1,yes
"Cicero, Marcus Tullius","M. Tullii Ciceronis Academicorum libri duo et De finibus bonorum et malorum libri quinque. Cum integra varietate Victoriana, Lambiniana, Davisiana ... [et al] reliquaeque accurato delectu. Edidit Io. Casp. Orellius. Accedunt Aurelii Augustini adversus academicos libri tres. Petri Valentiae Academica. Durandi curae posteriores ineditae. Morelii adnotationes criticae in libros de finibus.",de finibus,1,partially
Livy,"Titi Livii ... Historiarum ab urbe condita libri XXI., XXII. Livy's History of Rome books XXI., XXII. during the second Punic War, B.C. 219 to B.C. 216. With English notes by W. Brownrigg Smith ... For the use of colleges and schools.",ab urbe condita,1,yes
Vitruvius Pollio.,"M. Vitruvii Pollionis De architectura libri decem / Cum notis, castigationibus & observationibus Guilielmi Philandri integris, Danielis Barbari excerptis, & Claudii Salmasii passim insertis. Praemittuntur Elementa architecturae collecta ab... Henrico Wottono... Accedunt Lexicon Vitruvianum Bernardini Baldi... et ejusdem Scamilli impares Vitruviani. De pictura libri tres absolutissimi Leonis Baptistae de Albertis. De sculptura, excerpta maxime animadvertenda ex dialogo Pomponii Gaurici... Ludovici Demontiosii Commentarius de sculptura et pictura. Cum variis indicibus copiosissimis. Omnia in unum collecta, digesta & illustrata a Ioanne de Laet...",de architectura,1,yes
Vitruvius Pollio.,"M. Vitruuii Pollionis de architectura libri decem / cum commentariis Danielis Barbari, electi patriarchae Aquileiensis ; multis aedificiorum, horologiorum, et machinarum descriptionibus, & figuris, unà cum indicibus copiosis, auctis & illustratis.",de architectura,1,yes
Vitruvius Pollio.,Vitruvii de architectura libri decem. Ad antiquissimos codices nunc primum ediderunt Valentinus Rose et Herman Müller-Strübing.,de architectura,1,yes
Livy,"T. Livii Patavini Historiarum ab urbe condita libri qui supersunt omnes / ex recensione Arn. Drakenborchii ; praeter varietatem lectionum Gronovianae, Crevierianae Kreyssigianae, et Bekkerianae, accedunt notae integrai ex editionibus J.B.L. Crevierii ; cum indice rerium locupletissimo.",ab urbe condita,1,yes
"Lucretius Carus, Titus","T. Lucretii Cari de rerum natura : libri sex / ad optimorum librorum, fidem edidit, perpetuam annotationem, criticam grammaticam et exegeticam adiecit Albertus Forbiger.",de rerum natura,1,yes
Livy,"T. Livii Patavini historiarum ab urbe condita libri qui supersunt XXXV/ Recensuit, & notis ad usum scholarum acommodatis illustravit J.B.L Crevier.",ab urbe condita,1,yes
Livy,"Titi Livii Patavini Historiarum ab urbe condita libri XXI, XXII = Livy's History of Rome books XXI, XXII during the second Punic war, B.C. 219-B.C. 216 / with English notes by W. Brownrigg Smith ; for the use of schools and colleges.",ab urbe condita,1,yes
