Title,DLL Identifier,VIAF Source
"Albert, of Aachen, active 11th-12th century",A5558,http://viaf.org/viaf/35250042/
"Marullo Tarcaniota, Michele",A5552,http://viaf.org/viaf/39470442
"Corvinus, Laurentius",A5553,http://viaf.org/viaf/20110921
Claudianus Mamertus,A5261,http://viaf.org/viaf/24503099
"Sedulius, active 5th century",A5260,http://viaf.org/viaf/18636329
"Council of Paris (573 : Paris, France)",A5262,
"Fredegis, of Tours",A5266,http://viaf.org/viaf/22392826
Granius Licinianus,A4617,http://viaf.org/viaf/69006862
"Memmius, C., approximately 98 B.C.-approximately 46 B.C.",A4586,http://viaf.org/viaf/9736483
"Higden, Ranulf, -1364",A4317,http://viaf.org/viaf/90633533
"Crab, Gilbert, -1552",A3952,http://viaf.org/viaf/66820125
"Du Bellay, Jean, 1498?-1560",A3948,http://viaf.org/viaf/68938939
"Des Freux, André, -1556",A3949,http://viaf.org/viaf/88983435
"Hessus, Helius Eobanus, 1488-1540",A3930,http://viaf.org/viaf/71412338
"Clement, of Alexandria, Saint",A3937,http://viaf.org/viaf/100185827
"Benvenutus, de Imola, -1387 or 1388",A3921,http://viaf.org/viaf/22954655
"Johnson, Christopher, -1597",A3934,http://viaf.org/viaf/39246245
"Henry, of Marlborough, active 1420",A3922,http://viaf.org/viaf/26936279
"Sinnius Capito, active 1st century B.C.-1st century A.D.",A3628,https://viaf.org/viaf/51581645
"Augurinus, Sentius",A3625,https://viaf.org/viaf/19569480
"Alfenus Varus, P. (Publius), active 39 B.C.",A3626,https://viaf.org/viaf/46655741
"Muczkowski, Antoni, 1807-1852",A3319,https://viaf.org/viaf/27451317
"Haase, Friedrich, 1808-1867",A3320,https://viaf.org/viaf/67214776
"Jacob, Émile, 1867-1953",A3321,https://viaf.org/viaf/61533487
"Didot, François, 1689-1757",A3322,https://viaf.org/viaf/88058035
"Stratford, John, -1348",A1870,http://viaf.org/viaf/104723503
"Herryson, Joannes",A1868,http://viaf.org/viaf/11595302
"Nicomachus, of Gerasa",A2181,https://viaf.org/viaf/316786767
"Peter, of Pisa",A557,http://viaf.org/viaf/309566613
"Calpurnius Siculus, Titus",A910,http://viaf.org/viaf/100165075
"Cincius, L. (Lucius)",A907,http://viaf.org/viaf/302131429
"Philastrius, Saint, Bishop of Brescia",A555,http://viaf.org/viaf/178142530
