"Content type","DLL Number"
"Author Authority",5558
"Author Authority",5552
"Author Authority",5553
"Author Authority",5261
"Author Authority",5260
"Author Authority",5262
"Author Authority",5266
"Author Authority",4617
"Author Authority",4586
"Author Authority",4317
"Author Authority",3952
"Author Authority",3948
"Author Authority",3949
"Author Authority",3930
"Author Authority",3937
"Author Authority",3921
"Author Authority",3934
"Author Authority",3922
"Author Authority",3628
"Author Authority",3625
"Author Authority",3626
"Author Authority",3319
"Author Authority",3320
"Author Authority",3321
"Author Authority",3322
"Author Authority",1870
"Author Authority",1868
"Author Authority",2181
"Author Authority",557
"Author Authority",910
"Author Authority",907
"Author Authority",555
"Author Authority",2877
"Author Authority",2875
"Author Authority",2874
"Author Authority",2872
"Author Authority",2870
"Author Authority",2868
"Author Authority",2884
"Author Authority",2882
"Author Authority",2880
"Author Authority",2879
"Author Authority",2895
"Author Authority",2876
"Author Authority",2894
"Author Authority",2893
"Author Authority",2873
"Author Authority",2889
"Author Authority",2871
"Author Authority",2887
"Author Authority",2869
"Author Authority",2492
"Author Authority",2495
"Author Authority",2493
"Author Authority",2494
"Author Authority",2491
"Author Authority",2508
"Author Authority",2755
"Author Authority",2923
"Author Authority",2883
"Author Authority",2901
"Author Authority",2881
"Author Authority",2899
"Author Authority",2914
"Author Authority",2898
"Author Authority",2897
"Author Authority",2878
"Author Authority",2896
"Author Authority",2912
"Author Authority",2910
"Author Authority",2892
"Author Authority",2891
"Author Authority",2890
"Author Authority",2907
"Author Authority",2888
"Author Authority",2905
"Author Authority",2886
"Author Authority",2885
"Author Authority",2936
"Author Authority",2934
"Author Authority",2933
"Author Authority",2931
"Author Authority",2929
"Author Authority",2927
"Author Authority",2926
"Author Authority",2917
"Author Authority",2904
"Author Authority",2903
"Author Authority",2916
"Author Authority",2902
"Author Authority",2915
"Author Authority",2900
"Author Authority",2925
"Author Authority",2913
"Author Authority",2911
"Author Authority",2909
"Author Authority",2908
"Author Authority",2906
"Author Authority",2949
"Author Authority",2948
"Author Authority",2943
"Author Authority",2941
"Author Authority",2947
"Author Authority",2939
"Author Authority",2955
"Author Authority",2953
"Author Authority",2952
"Author Authority",2938
"Author Authority",2922
"Author Authority",2937
"Author Authority",2921
"Author Authority",2935
"Author Authority",2950
"Author Authority",2920
"Author Authority",2930
"Author Authority",2919
"Author Authority",2928
"Author Authority",2918
"Author Authority",2944
"Author Authority",2942
"Author Authority",2960
"Author Authority",2940
"Author Authority",2972
"Author Authority",2957
"Author Authority",2976
"Author Authority",2956
"Author Authority",2974
"Author Authority",2954
"Author Authority",2970
"Author Authority",2946
"Author Authority",2945
"Author Authority",2967
"Author Authority",2971
"Author Authority",2975
"Author Authority",2963
"Author Authority",2973
"Author Authority",2961
"Author Authority",2969
"Author Authority",2995
"Author Authority",2978
"Author Authority",2966
"Author Authority",2965
"Author Authority",2996
"Author Authority",2964
"Author Authority",2982
"Author Authority",2962
"Author Authority",2993
"Author Authority",2994
