author,dll_author_id
"Acosta, José de, 1540-1600",A5598
"Seneca, Lucius Annaeus, approximately 55 B.C.-approximately 39 A.D",A4920
"Gregory, Saint, Bishop of Tours, 538-594",A5257
"Keil, Henricus, 1822-1894",A3509
"Ruusbroec, Jan van, 1293-1381",A4218
"Baudouin, François, 1520-1573",A4124
"Blarru, Pierre de, 1437-1510",A4094
"Andreä, Johann Valentin, 1586-1654",A4229
"Bordini, Giovanni Francesco, ca. 1536-1609",A4092
"Villani, Filippo, -1405",A5710
"Catallus, Gaius Valerius",A5237
"Weichert, Jonathan August, 1788-1844",A6089
"Schoen, Henricus",A5952
"Nodell, Jan Adam, -1814",A6149
"Porphyrius, Publius Optatianus",A4902
"Seneca, Lucius Annaeus, ca. 55 B.C.-ca. 39 A.D",A4655
"Laciantius, ca. 240-ca. 320",A5102
"Descartes, René, 1596-1650",A4762
"Antonius, Marcus, 83 B.C.?-30 B.C",A3571
"Struve, K. L. 1785-1838",A3271
"Hanke, Friedrich",A6267
"Lucilius, Gaius, approximately 180 B.C.-approximately 102 B.C",A4618
"Sepúlveda, Juan Ginés de, 1490-1573",A4189
"Vida, Marco Girolamo, ca. 1485-1566",A5557
"Vliet, Joannes van der",A6128
"Ursinus Velius, Caspar, 1493-1539",A5594
"Facrno, Gabriello, d. 1561",A5999
"Sidonius, C. Sollius Modestus Apollinaris",A4795
"Gregory I, Pope, ca. 540-604",A4981
"Cicero, Marcus Tullius, 106-43 B.C. E",A5129
"Albertus, de Saxonia, d. 1390",A4280
"Luis, de Granada, 1504-1588",A3975
"Mariana, Juan de, 1536-1624",A4135
"Biel, Gabriel, d. 1495",A3151
"Facio, Bartolomeo, d. 1457",A3971
"Valerius, Cornelius",A2880
"Cornarius, Ianus",A4007
"Fox Morcillo, Sebastian",A4152
Dioscórides,A3583
"Vitoria, Francisco de, 1483-1546",A3694
"Navagero, Andres, 1483-1529",A4691
"Guibert de Nogent, 1053-Ca. 1124",A5194
Hipocrates,A3489
"Acosta, Jose de, 1540-1600",A5598
"Giraldi, Giglio Gregorio, 1479-1552",A3950
Alejandro de Afrodisia,A3394
"Polignac, Melchior de, 1661-1741",A3852
"Saumaise, Claude de",A6021
"Juvenco, Cayo Vecio Aquilino, s. 4",A5223
"Muris, Johannes de, ca. 1300-ca. 1350",A3681
"Crotto, Giovanni",A5549
"Sa?chez de las Brozas, Francisco, 1522-1600",A4140
Amiano Marcelino,A5452
"Meursius, Ioannes",A6019
"Obsequens, Iulius",A5175
"Putte, Hendrik van der 1574-1646",A5936
"Turnébe, Adrien, 1512-1565",A6000
"Ursinus Velius, Caspar",A5594
"Jiménez de Rada, Rodrigo, ca. 1170-1247",A4450
"Meurs, Johannes Van, 1579-1639",A6019
"Máximo, el Confesor, Santo, 580-662",A5120
"Cardano, Gerolamo, 1501-1576",A5596
"Reusner, Nickolas",A3830
Diomedes,A4483
"Alexander of Hales, ca. 1185-1245",A4151
"Brasavola, Antonio Musa (1500-1555)",A5459
"Sereno Samonico, Quinto",A4238
"Gabuccini, Girolamo",A3435
"Herberstein, Sigmund von, 1486-1566",A3691
"Ildefonso, Santo, 607-667",A5513
Facundus Hermeanensis,A5511
"Lipsio, Justo, 1547-1606",A4194
"Clemente I, Papa",A3946
"Aristoteles, 384-322 a.C",A3548
"Erasmus, Desiderius 1467-1536",A4743
"Bidermann, Jakob, 1577-1639",A4158
"Valeriano Bolzani, Giovan Piero, 1477-1558",A2935
"Bovelles, Charles de",A3712
"De Vío, Tommaso, 1469-1534",A4256
"Muret, Marc Antoine",A3873
"Barth, Caspar von, 1587-1658",A4102
"Bodin, Jean , 1530-1596",A4074
"Sigonio, Carlo, 1524-1584",A3778
"Jacques de Vitry, 1170?-1240",A4369
"Emili, Paolo, 1460-1529",A3983
"Vossius, Gerhard Johann, 1577-1649",A3771
"Wölfflin, Eduard von, 1831-1908",A3471
"Knollinger, Hermann",A6234
"Lydus, Johannes",A3199
Virgile (0070-0019 av. J.-C.),A4830
"Cicero, M. Tullius, 106-43 v. Chr",A4668
"Catullus, Valerius",A5237
"Arrianus, Flavius",A4508
"Maffei, Giovanni Pietro, 1533-1603",A3869
"Némethy, Geza",A6142
"Rutilius Namatianus, Claudius, 5th cent",A4453
"Walram, Bishop of Naumberg, d. 1111",A5538
"Atilius Fortunatianus, active 4th century",A4658
Defensor de Ligugé,A4474
"Atilius Fortunatianus, 4th cent",A4658
"Albert, d'Aix, 11e/12e s.",A5558
"Marullo, Michele, 1453-1500",A5552
Marullus 1453-1500,A5552
"Marullo Tarcaniota, Michele, -1500",A5552
"Marullo Tarcaniota, Michele 1453-1500",A5552
"Marullus, Michael Tarchaniota, 1453-1500",A5552
"Marullus, Michael, detto Tarchaniota, 1453-1500",A5552
"Marullo Torcaniota, Michele",A5552
"Marullo, Michele Tarchaniota‪ (1453-1500)",A5552
"Marullo Tarcaniota, Michele, m. 1500",A5552
"Michael Marullus, detto Tarchaniota, 1453-1500",A5552
"Marullo, Michele, detto Tarchaniota, 1453-1500",A5552
"Marullus, Michael Tarchaniota",A5552
"Corvinus, Laurentius, 1465-1527",A5553
"Korwin, Wawrzyniec",A5553
"Korwin, Wawrzyniec (około 1465-1527).",A5553
"Corvinus, Laurentius, ca 1465-1527",A5553
"Corvinus, Laurentius, approximately 1465-1527",A5553
"Korwin, Wawrzyniec (ok. 1465-1527)",A5553
Scriptor:Laurentius Corvinus,A5553
"Corvinus, Laurentius apie 1465-1527",A5553
"Corvinus, Laurentius c. 1465-1527",A5553
"Korwin, Wawrzyniec, asi 1470-1527",A5553
Claudianus ...-474 Mamertus,A5261
"Claudianus, Mamertus, -474",A5261
Claudianus Ecdicius Mamertus ( -około 474).,A5261
"Mamert, Claudien, ....-0474",A5261
Claudianus Mamertus (?-ok. 474),A5261
"Mamert, Claudien 04..-0473?",A5261
"Claudianus Mamertus, m. c. 474",A5261
Claudiano  Mamerto,A5261
Mamertus 475c+,A5261
"Sedulio, Celio",A5260
"Sedulius, Caius Coelius, 04..-04..",A5260
Sedulius Caelius ca. 5. Jh.,A5260
"Sedulius, Caius Caelius, 5e eeuw",A5260
Coelius Sedulius presbyter et poeta,A5260
"Sedulius, Coelius",A5260
Sedulius Caelius 5.sc,A5260
"Sedulius, Caius Coelius",A5260
Sedulius (4..-45.).,A5260
"Sedulius, Caelius",A5260
"Sedulius, 400-talet",A5260
"Sedulius, činný 425-450",A5260
"Sedulius, Coelius, 4--",A5260
"Sedulius, activité 5e siècle.",A5260
"Sedulius, Gaius Coelius",A5260
"Fredegis, of Tours, -824",A5266
Granius Licinianus.,A4617
"Granius Licinianus, 0099-0001 av. J.-C.",A4617
"Granius Licinianus, Gaius",A4617
Granius Licinianus ca. 2. Jh.,A4617
"Granius Licinianus, sec. II",A4617
"Licinianus, Gaius Granius",A4617
"Memmius, C ca. 98-ca. 46 B.C",A4586
"Higden, Ranulf, 1280?-1364",A4317
"Higden, Ranulf, m. 1364",A4317
"Higden, Ranulfus 1280-1364",A4317
"Higden, Ranulph, -1364",A4317
"Higden, Ranulf, -ca. 1363",A4317
"Higden, Ranulph",A4317
"Higden, Ranulfus, d. 1364",A4317
"Higden, Ranulf, d. 1364",A4317
"Higden, Ranulf (ca 1280-1364)",A4317
"Crab, Gilbert, ....-1552",A3952
"Crab, Gilbertus, fl. ca. 1515",A3952
"Crab, Gilbert 1482?-1552",A3952
"Crab, Gilbert, ca 1515",A3952
"Du Bellay, Jean, 1492?-1560",A3948
"Du Bellay, Jean",A3948
Jean du Bellay,A3948
"די בלה, ז'אן",A3948
"Du Bellay, Jean, card., 1492/3-1560",A3948
"Des Freux, André, ?-1566, S.J.",A3949
