author,dll_author_id
"Albert, of Aachen, active 11th-12th century",A5558
"Marullo Tarcaniota, Michele",A5552
"Corvinus, Laurentius",A5553
Claudianus Mamertus,A5261
"Sedulius, active 5th century",A5260
"Council of Paris (573 : Paris, France)",A5262
"Fredegis, of Tours",A5266
Granius Licinianus,A4617
"Memmius, C., approximately 98 B.C.-approximately 46 B.C.",A4586
"Higden, Ranulf, -1364",A4317
"Crab, Gilbert, -1552",A3952
"Du Bellay, Jean, 1498?-1560",A3948
"Des Freux, André, -1556",A3949
"Hessus, Helius Eobanus, 1488-1540",A3930
"Clement, of Alexandria, Saint",A3937
"Benvenutus, de Imola, -1387 or 1388",A3921
"Johnson, Christopher, -1597",A3934
"Henry, of Marlborough, active 1420",A3922
"Sinnius Capito, active 1st century B.C.-1st century A.D.",A3628
"Augurinus, Sentius",A3625
"Alfenus Varus, P. (Publius), active 39 B.C.",A3626
"Muczkowski, Antoni, 1807-1852",A3319
"Haase, Friedrich, 1808-1867",A3320
"Jacob, Émile, 1867-1953",A3321
"Didot, François, 1689-1757",A3322
"Stratford, John, -1348",A1870
"Herryson, Joannes",A1868
"Nicomachus, of Gerasa",A2181
"Peter, of Pisa",A557
"Calpurnius Siculus, Titus",A910
"Cincius, L. (Lucius)",A907
"Philastrius, Saint, Bishop of Brescia",A555
"Mauricianus, Iunius, active 2nd century A.D.",A2877
"Metellus Celer, Q. Caecilius",A2875
"Metellus, Quintus Caecilius Nepos, -56",A2874
"Lentulus Spinther, Publius Cornelius, born c. 43 B.C.",A2872
Salvius Julianus,A2870
"Aquilius Niger, Quintus",A2868
Regianus,A2884
"Servilius Nonianus, Marcus, 1st Century A.D.",A2882
"Valerianus, Cornelius",A2880
"Festus, Pescennius",A2879
"Menander, Arrius, active 2nd/3rd century A.D.",A2895
"Papirius Iustus, active 2nd century A.D.",A2876
"Tarruntenus Paternus, active 2nd century A.D.",A2894
"Venuleius Saturninus, active 1st century A.D.",A2893
"Saturninus, Claudius, active 2nd century A.D.",A2873
"Proculus Iurisconsultus, active 20-50 A.D.",A2889
"Marcellus, Marcus Claudius, -45 B.C.",A2871
Javolenus Priscus,A2887
Marianus,A2869
"Strecker, Karl, 1861-1945",A2492
"Préchac, François",A2495
"Simon, Johann Georg, approximately 1636-1696",A2493
"Komarek, Giovanni Giacomo, 1648-1706",A2494
"Anaritius, -approximately 922",A2491
"Ignatios, the Deacon, approximately 775-approximately 848",A2508
Alberico da Marcellise,A2755
"Filetico, Martino, approximately 1430-approximately 1490",A2923
Aelius Sabinus,A2883
Saufeius,A2901
Sextius Niger,A2881
Turdulus Gallicanus,A2899
Vennonius,A2914
"Tuccianus, Poeta, 5th or 5th/6th Century A.D.",A2898
"Balbillus, Astrologus, 1st Century A.D.",A2897
"Lucceius, Lucius, active 1st century A.D.",A2878
"Clemens, Terentius, active 2nd century A.D.",A2896
"Tryphoninus, Claudius, active 2nd century-3rd century",A2912
"Trebonius, C.",A2910
"Marcellus, Ulpius, active 135",A2892
"Verus, Lucius Aurelius, Emperor of Rome, 130-169",A2891
Licinius Rufinus,A2890
"Domitian, Emperor of Rome, 51-96",A2907
"Brutus Albinus, Decimus Iunius, circa 85 B.C.- circa 43 B.C.",A2888
"Modestinus, Herennius, active 3rd century",A2905
"Vatinius, Publius, active 59 B.C.-47 B.C.",A2886
"Curius, Manlius, active circa 58 B.C.",A2885
"Tomaso, da Faenza, active 1263-1289",A2936
"Varchi, Benedetto, 1503-1565",A2934
"Zamorei, Gabriele de', active 14th century",A2933
"Convenevole, da Prato, -approximately 1340",A2931
"Scribonius Libo Drusus, Marcus, -16",A2929
"Papinian, -212",A2927
"Ponnanus, Poeta",A2926
"Priscillian, Bishop of Avila, approximately 350-385",A2917
Procilius,A2904
"Feofan, Archbishop of Novgorod, 1681-1736",A2903
"Sabinus, Masurius",A2916
"Saturninus, Julius",A2902
Suetonius Paulinus,A2915
Sulpicius Blitho,A2900
"Vestalis, Fabius",A2925
"Lepidus, Marcus Aemilius, -13 B.C.",A2913
"Antoninus Pius, Emperor of Rome, 86-161",A2911
"Domitius Afer, -59",A2909
"Valens, Gaius Aburnius, 109",A2908
"Nerva, Emperor of Rome, approximately 30-98",A2906
Eustachius de Matera c. 1268/70,A2949
"Fedele, Cassandra, 1465?-1558",A2948
"Filelfo, Giovanni Mario, 1426-1480",A2943
"Gallo, Egidio",A2941
"Gaurico, Pomponio, 1481 or 1482-1528",A2947
Gioanni Hercolani de' Sarti,A2939
"Mazzoni, R. Francisco",A2955
"Nogarola, Isotta, 1418-1466",A2953
"Pigna, Giovan Battista, 1529-1575",A2952
"Sbrulius, Richardus, 1480-",A2938
"Seneca, Tommaso, approximately 1390-1472",A2922
"Serarrighi, Cristofano",A2937
"Uberti, Francesco ca. ca. 1440-1518",A2921
"Valeriano, Pierio, 1477-1560",A2935
"Zamberti, Bartolomeo, active 1500",A2950
"Agrippina, Minor, 15-59",A2920
"Fulvius Nobilior, Marcus, approximately 230 B.C.-",A2930
"Maeonius Astyanax, 3rd Century A.D.",A2919
"Modestinus, Poeta, 5th or 6th Century A.D.",A2928
"Posthius, Johannes, 1537-1597",A2918
"Ferreri, Zaccaria, approximately 1479-1524",A2944
"Folengo, Nicodemo, approximately 1454-",A2942
Francesco Cardulo,A2960
"Geraldini, Alessandro, 1455-1525",A2940
Giorgio Cichino,A2972
"Malatesta, Sigismondo Pandolfo, signore di Rimini, 1417-1468",A2957
"Marzio, Galeotto, 1427-1497",A2976
"Maurisio, Gerardo, 1173-",A2956
"Molza, Tarquinia, 1542-1617",A2974
"Muzio, Girolamo, 1496-1576",A2954
"Phantino, Pier S.",A2970
"Zenobi, da Strada, 1312-1361",A2946
"Vespasian, Emperor of Rome, 9-79",A2945
"Altilio, Gabriele, 1436-1501",A2967
"Amoretti Angulo, Andrea Lucía",A2971
Antonio Baratella,A2975
"Aurispa, Giovanni, approximately 1376-1459",A2963
"Barbato, Marco, -1363",A2973
"Bembo, Bonifacio",A2961
"Berni, Francesco, 1497 or 1498-1535",A2969
"Sisbertus Toletanus, c. 7th century A.D.",A2995
"Andronicus Callistus, -1478",A2978
Angela Nogarola c. 15. C.,A2966
"Angèli, Pietro, 1517-1596",A2965
"Anichini, Gerardo, active 1399",A2996
"Augurelli, Giovanni Aurelio, approximately 1456-1524?",A2964
"Barignani, Fabio, 1532-1584",A2982
"Bartolomeo, fra, 1472-1517",A2962
"Calderino, Domizio, 1447-1478",A2993
"Dall'Isola, Matteo, active 15th century-16th century",A2994
"Giovanni del Virgilio, active 1319",A2981
Girolamo d'Este 1450-1530,A2959
"Gravina, Pietro, 1749-1830",A2958
"Lapi, Angelo Emilio, approximately 1769-1852",A2979
"Marsi, Paolo, 1440-1484",A2997
"Mauri, Francesco 1500-1571",A2985
"Mombrizio, Bonino, 1424?-1482?",A2983
"Pietro Odo da Montopoli, approximately 1425-1463?",A2980
"Ranieri, Antonio, 1806?-1888",A2977
"Rota, Berardino, 1508-1575",A2968
Cornelio Paolo Amalteo,A2989
"Griffoni, Matteo, 1351-1426",A2999
"Lenzi, Lorenzo, 1517?-1571",A2987
"Marsuppini, Carlo, 1398-1453",A3006
"Moggi, Moggio, active 14th century",A3004
"Paolini, Alessandro",A3001
"Pietro, da Moglio",A2988
"Quatrario, Giovanni, 1336-1402",A2998
"Rolandello, Francesco, 1427-1490",A2986
"Aldegati , Marcantonio",A3010
"Alighieri, Pietro, -1364",A2992
"Spartianus, Aelius",A3016
"Vopiscus, Flavius",A2990
"Amaseo, Girolamo 1467-1517",A3002
"Armonio, Giovanni, approximately 1477-approximately 1552",A2984
"Barbaro, Ermolao, 1454-1493",A3003
Benintendus de Ravagnanis 1317-1365,A3000
Bonaventura da Bagnoregio,A3009
"Cancianini, Gian Domenico 1547-1630",A3017
"Carrara, Giovanni Michele Alberto, 1438-1490",A2991
"Beccadelli, Antonio, 1394-1471",A3024
"Epicuro, Marcantonio, 1472-1555",A3012
