author,dll_author_id
"Acosta, José de, 1540-1600",A5598
"Seneca, Lucius Annaeus, approximately 55 B.C.-approximately 39 A.D",A4920
"Gregory, Saint, Bishop of Tours, 538-594",A5257
"Keil, Henricus, 1822-1894",A3509
"Ruusbroec, Jan van, 1293-1381",A4218
"Baudouin, François, 1520-1573",A4124
"Ricci, Matteo, 1552-1610",A4121
"Brant, Sebastian, 1458-1521",A4064
"Fabricius, Georg, 1516-1571",A4033
"Blarru, Pierre de, 1437-1510",A4094
"Andreä, Johann Valentin, 1586-1654",A4229
"Bordini, Giovanni Francesco, ca. 1536-1609",A4092
"Villani, Filippo, -1405",A5710
"Vast, Henri, 1847-1921",A3311
"Christ, Wilhelm von, 1831-1906",A3552
"Catallus, Gaius Valerius",A5237
"Weichert, Jonathan August, 1788-1844",A6089
"Pontanus, Jacob, 1542-1626",A3844
"Schoen, Henricus",A5952
"Lessing, Gotthold Ephraim, 1729-1781",A3929
"Nodell, Jan Adam, -1814",A6149
"Porphyrius, Publius Optatianus",A4902
"Seneca, Lucius Annaeus, ca. 55 B.C.-ca. 39 A.D",A4655
"Laciantius, ca. 240-ca. 320",A5102
"Ernesti, August Wilhelm, 1733-1801",A5954
"Agricola, Rodolphus, 1443?-1485",A4109
"Pontanus, Johannes Isacius, 1571-1639",A4147
"Cano, Melchor, 1509?-1560",A4265
"Charisius, Flavius Sosipater",A4524
"Descartes, René, 1596-1650",A4762
"Poleni, Giovanni, 1683-1761",A6047
"Morhof, Daniel Georg, 1639-1691",A3861
"Antonius, Marcus, 83 B.C.?-30 B.C",A3571
"Valois, Henri de, 1603-1676",A5985
"Struve, K. L. 1785-1838",A3271
"Hanke, Friedrich",A6267
"Huet, Pierre-Daniel, 1630-1721",A3941
"Lucilius, Gaius, approximately 180 B.C.-approximately 102 B.C",A4618
"Puteanus, Erycius, 1574-1646",A5936
"Sepúlveda, Juan Ginés de, 1490-1573",A4189
"Reinesius, Thomas, 1587-1667",A5965
"Vida, Marco Girolamo, ca. 1485-1566",A5557
"Vliet, Joannes van der",A6128
"Harvey, William, 1578-1657",A4164
"Ursinus Velius, Caspar, 1493-1539",A5594
"Erigena, Johannes Scotus, ca. 810-ca. 877",A5230
"Facrno, Gabriello, d. 1561",A5999
"Sidonius, C. Sollius Modestus Apollinaris",A4795
"Gregory I, Pope, ca. 540-604",A4981
"Graevius, Joannes Georgius, 1632-1703",A6032
"Cicero, Marcus Tullius, 106-43 B.C. E",A5129
"Albertus, de Saxonia, d. 1390",A4280
"Luis, de Granada, 1504-1588",A3975
"Canonieri, Pietro Andrea, -1639",A4066
"Reuchlin, Johann, 1455-1522",A3809
"Platina, 1421-1481",A3806
"Vadianus, Joachim, 1484-1551",A4160
"Bona, Giovanni, 1609-1674",A4056
"Mariana, Juan de, 1536-1624",A4135
"Biel, Gabriel, d. 1495",A3151
"Estienne, Robert, 1503?-1559",A3558
"Facio, Bartolomeo, d. 1457",A3971
"L'Hospital, Michel de, 1507-1573",A3940
"Hirtius, Aulus",A4622
"Enk, Petrus Joannes, 1885-",A6147
"Valerius, Cornelius",A2880
"Major, John, 1469-1550",A3697
"Cornarius, Ianus",A4007
"Fox Morcillo, Sebastian",A4152
Dioscórides,A3583
"Vitoria, Francisco de, 1483-1546",A3694
"Navagero, Andres, 1483-1529",A4691
"Guibert de Nogent, 1053-Ca. 1124",A5194
Hipocrates,A3489
"Gronovius, Jacobus, 1645-1716",A3314
"Acosta, Jose de, 1540-1600",A5598
"Giraldi, Giglio Gregorio, 1479-1552",A3950
Alejandro de Afrodisia,A3394
"Polignac, Melchior de, 1661-1741",A3852
"Saumaise, Claude de",A6021
"Juvenco, Cayo Vecio Aquilino, s. 4",A5223
"Muris, Johannes de, ca. 1300-ca. 1350",A3681
"Crotto, Giovanni",A5549
"Sa?chez de las Brozas, Francisco, 1522-1600",A4140
Amiano Marcelino,A5452
"Meursius, Ioannes",A6019
"Obsequens, Iulius",A5175
"Putte, Hendrik van der 1574-1646",A5936
"Turnébe, Adrien, 1512-1565",A6000
"Ursinus Velius, Caspar",A5594
"Jiménez de Rada, Rodrigo, ca. 1170-1247",A4450
"Meurs, Johannes Van, 1579-1639",A6019
"Máximo, el Confesor, Santo, 580-662",A5120
"Cardano, Gerolamo, 1501-1576",A5596
"Reusner, Nickolas",A3830
Diomedes,A4483
"Alexander of Hales, ca. 1185-1245",A4151
"Folengo, Teofilo, 1496-1544",A5719
"Brasavola, Antonio Musa (1500-1555)",A5459
"Sereno Samonico, Quinto",A4238
"Gabuccini, Girolamo",A3435
Scribonius Largus,A4555
"Herberstein, Sigmund von, 1486-1566",A3691
"Ildefonso, Santo, 607-667",A5513
"Barclay, John, 1582-1621",A5595
Facundus Hermeanensis,A5511
"Stewechius, Godescalcus, 1551-1586",A5943
"Lipsio, Justo, 1547-1606",A4194
"Clemente I, Papa",A3946
"Aristoteles, 384-322 a.C",A3548
"Erasmus, Desiderius 1467-1536",A4743
"Bidermann, Jakob, 1577-1639",A4158
"Valeriano Bolzani, Giovan Piero, 1477-1558",A2935
"Pico della Mirandola, Giovanni, 1463-1494",A5548
Origenes,A5012
"Bovelles, Charles de",A3712
"De Vío, Tommaso, 1469-1534",A4256
"Muret, Marc Antoine",A3873
"Manuzio, Aldo, 1547-1597",A4295
"Barth, Caspar von, 1587-1658",A4102
Saxo Grammaticus,A4930
"Bodin, Jean , 1530-1596",A4074
"Sigonio, Carlo, 1524-1584",A3778
"Jacques de Vitry, 1170?-1240",A4369
"Emili, Paolo, 1460-1529",A3983
"Vossius, Gerhard Johann, 1577-1649",A3771
"Evrard, de Béthune",A5302
"Wölfflin, Eduard von, 1831-1908",A3471
"Knollinger, Hermann",A6234
"Carrion, Louis, 1547-1595",A6008
"Lydus, Johannes",A3199
Virgile (0070-0019 av. J.-C.),A4830
"Cicero, M. Tullius, 106-43 v. Chr",A4668
"Catullus, Valerius",A5237
"Arrianus, Flavius",A4508
"Maffei, Giovanni Pietro, 1533-1603",A3869
"Némethy, Geza",A6142
"Rutilius Namatianus, Claudius, 5th cent",A4453
"Walram, Bishop of Naumberg, d. 1111",A5538
"Atilius Fortunatianus, active 4th century",A4658
Defensor de Ligugé,A4474
"Atilius Fortunatianus, 4th cent",A4658
"Albert, of Aachen, active 11th-12th century",A5558
"Albert, d'Aix, 11e/12e s.",A5558
Albertus Aquensis,A5558
"Marullo, Michele, 1453-1500",A5552
Marullus 1453-1500,A5552
"Marullo Tarcaniota, Michele, -1500",A5552
"Marullo Tarcaniota, Michele 1453-1500",A5552
"Marullus, Michael Tarchaniota, 1453-1500",A5552
"Marullus, Michael, detto Tarchaniota, 1453-1500",A5552
Michael Tarchaniota Marullus,A5552
"Marullo Torcaniota, Michele",A5552
"Marullo, Michele Tarchaniota‪ (1453-1500)",A5552
"Marullo Tarcaniota, Michele d. 1500",A5552
"Marullo Tarcaniota, Michele, m. 1500",A5552
"Michael Marullus, detto Tarchaniota, 1453-1500",A5552
"Marullo, Michele, detto Tarchaniota, 1453-1500",A5552
"Marullus, Michael Tarchaniota",A5552
"Corvinus, Laurentius, 1465-1527",A5553
"Korwin, Wawrzyniec",A5553
"Korwin, Wawrzyniec (około 1465-1527).",A5553
"Corvinus, Laurentius, ca 1465-1527",A5553
"Corvinus, Laurentius, approximately 1465-1527",A5553
"Korwin, Wawrzyniec (ok. 1465-1527)",A5553
Scriptor:Laurentius Corvinus,A5553
"Corvinus, Laurentius apie 1465-1527",A5553
"Corvinus, Laurentius c. 1465-1527",A5553
"Corvinus, Laurentius",A5553
"Korwin, Wawrzyniec, asi 1470-1527",A5553
Claudianus ...-474 Mamertus,A5261
